,nb_reuse,tool,nb_proc,prop_proc,nb_own,prop_own,nb_wf,prop_wf
11,12.0,"[['dRep'], ['VarScan'], ['PastML'], ['snippy'], ['goalign'], ['Roary']]",6,1.411764705882353,29.0,1.341350601295097,52.0,1.5508499850879809
12,13.0,"[['FreeBayes'], ['HISAT2'], ['Flye']]",3,0.7058823529411765,32.0,1.4801110083256246,33.0,0.9841932597673724
17,14.0,"[['IGVtools'], ['convert-matrix']]",2,0.4705882352941176,6.0,0.27752081406105455,20.0,0.5964807634953773
14,15.0,"[['seqtk', 'BEDTools'], ['ANGSD'], ['BEDTools', 'bedGraphToBigWig']]",3,0.7058823529411765,9.0,0.4162812210915819,15.0,0.44736057262153295
15,16.0,"[['mosdepth'], ['Sambamba'], ['Barrnap'], ['sickle'], ['Jellyfish']]",5,1.1764705882352942,26.0,1.2025901942645698,58.0,1.729794214136594
16,17.0,"[['QualiMap'], ['SAMtools', 'BEDTools', 'bedGraphToBigWig'], ['SAMtools', 'BEDTools']]",3,0.7058823529411765,24.0,1.1100832562442182,35.0,1.0438413361169103
18,19.0,"[['FastTree'], ['Mothur'], ['MarkDuplicates (IP)']]",3,0.7058823529411765,17.0,0.786308973172988,36.0,1.073665374291679
19,20.0,"[['fastafrombed'], ['sourmash']]",2,0.4705882352941176,7.0,0.32377428307123035,16.0,0.47718461079630187
20,21.0,"[['HISAT2', 'SAMtools', 'SAMtools'], ['BWA', 'SAMtools', 'SAMtools', 'SAMtools', 'SAMtools']]",2,0.4705882352941176,22.0,1.0175763182238668,42.0,1.2526096033402923
21,22.0,"[['TRUmiCount'], ['ANACONDA']]",2,0.4705882352941176,7.0,0.32377428307123035,9.0,0.26841634357291977
22,23.0,[['QUAST']],1,0.2352941176470588,9.0,0.4162812210915819,14.0,0.41753653444676403
23,24.0,"[['MAFFT'], ['SAMtools', 'bedGraphToBigWig'], ['SAMtools', 'BCFtools'], ['gffread']]",4,0.9411764705882352,55.0,2.5439407955596667,70.0,2.0876826722338206
25,26.0,"[['htseqcount'], ['kraken2']]",2,0.4705882352941176,28.0,1.2950971322849214,47.0,1.4017297942141367
26,27.0,"[['Diamond'], ['ABRicate']]",2,0.4705882352941176,27.0,1.2488436632747455,31.0,0.9245451834178348
27,28.0,[['G-BLASTN']],1,0.2352941176470588,19.0,0.8788159111933395,22.0,0.656128839844915
28,29.0,[['MEGAHIT']],1,0.2352941176470588,14.0,0.6475485661424607,25.0,0.7456009543692216
30,31.0,[['fastPHASE']],1,0.2352941176470588,17.0,0.786308973172988,29.0,0.864897107068297
31,32.0,[['VSEARCH']],1,0.2352941176470588,6.0,0.27752081406105455,11.0,0.3280644199224575
33,36.0,"[['StringTie'], ['bedGraphToBigWig']]",2,0.4705882352941176,31.0,1.4338575393154487,46.0,1.3719057560393677
34,40.0,[['Prokka']],1,0.2352941176470588,18.0,0.8325624421831638,35.0,1.0438413361169103
35,44.0,"[['Minimap2', 'SAMtools']]",1,0.2352941176470588,23.0,1.0638297872340425,38.0,1.1333134506412168
36,49.0,"[['Salmon'], ['Snakemake']]",2,0.4705882352941176,46.0,2.127659574468085,76.0,2.2666269012824336
37,50.0,[['Trimmomatic']],1,0.2352941176470588,25.0,1.1563367252543941,45.0,1.3420817178645987
38,52.0,"[['Bowtie', 'SAMtools', 'SAMtools']]",1,0.2352941176470588,33.0,1.5263644773358003,46.0,1.3719057560393677
39,54.0,"[['kallisto'], ['VGA']]",2,0.4705882352941176,27.0,1.2488436632747455,39.0,1.1631374888159856
40,56.0,[['Minimap2']],1,0.2352941176470588,29.0,1.341350601295097,45.0,1.3420817178645987
41,63.0,[['FeatureCounts']],1,0.2352941176470588,40.0,1.8501387604070305,55.0,1.6403220996122876
42,64.0,[['seqtk']],1,0.2352941176470588,29.0,1.341350601295097,38.0,1.1333134506412168
43,69.0,[['VCFtools']],1,0.2352941176470588,18.0,0.8325624421831638,28.0,0.8350730688935281
45,78.0,[['PLINK']],1,0.2352941176470588,11.0,0.5087881591119334,26.0,0.7754249925439904
46,80.0,"[['Cutadapt'], ['Picard']]",2,0.4705882352941176,68.0,3.145235892691952,101.0,3.0122278556516555
47,87.0,[['QIIME']],1,0.2352941176470588,5.0,0.23126734505087881,10.0,0.29824038174768863
49,104.0,[['Bowtie']],1,0.2352941176470588,48.0,2.2201665124884364,68.0,2.0280345958842827
10,135.0,[['MultiQC']],1,0.2352941176470588,66.0,3.0527289546716005,100.0,2.9824038174768863
13,137.0,"[['BWA', 'SAMtools']]",1,0.2352941176470588,64.0,2.960222016651249,123.0,3.6683566954965703
44,142.0,"[['STAR'], ['BWA']]",2,0.4705882352941176,105.0,4.856614246068455,179.0,5.338502833283627
48,219.0,[['BCFtools']],1,0.2352941176470588,61.0,2.8214616096207217,97.0,2.8929317029525796
50,232.0,[['FastQC']],1,0.2352941176470588,115.0,5.319148936170213,167.0,4.9806143751864
51,242.0,[['GATK']],1,0.2352941176470588,23.0,1.0638297872340425,48.0,1.4315538323889054
29,260.0,[['Augur']],1,0.2352941176470588,8.0,0.37002775208140615,30.0,0.8947211452430659
24,406.0,[['BEDTools']],1,0.2352941176470588,100.0,4.6253469010175765,173.0,5.159558604235014
32,1057.0,[['SAMtools']],1,0.2352941176470588,248.0,11.47086031452359,446.0,13.301521025946913
