,nb_reuse,tools,nb_own,list_own,nb_contrib,list_contrib,nb_wf,list_wf
10,29,['Diamond'],9,"['nf-core', 'ABMicroBioinf', 'xiaoli-dong', 'chelauk', 'sguizard', 'sheenamt', 'quinlan-lab', 'xmuyulab', 'erikrikarddaniel']",22,"['chris-cheshire', 'nf-core-bot', 'lbarquist', 'xiaoli-dong', 'bozmik', 'sguizard', 'ignaciot', 'lmyiing', 'GhadaNOUAIRIA', 'ewels', 'chelauk', 'KevinMenden', 'huhehaotecrystal', 'brwnj', 'charlotte-west', 'dladd', 'reganhayward', 'jordeu', 'cjfields', 'sheenamt', 'apeltzer', 'erikrikarddaniel']",12,"['pathogen', 'nf-feelnc', 'hrd_pipeline', 'preon', 'nascent', 'magph', 'dualrnaseq', 'pfitmap-nextflow', 'scRNAseq_pipelines', 'nf-core-blasr', 'nanostring', 'cutandrun']"
11,19,"['SAMtools', 'BWA']",11,"['vincenthhu', 'nf-core', 'mahesh-panchal', 'raygozag', 'harleenduggal', 'jianhong', 'nf-modules', 'hawaiidatascience', 'ABMicroBioinf', 'rbpisupati', 'xiaoli-dong']",66,"['chris-cheshire', 'rfenouil', 'rsuchecki', 'maxulysse', 'nf-core-bot', 'sven1103', 'pranathivemuri', 'xiaoli-dong', 'veeravalli', 'paulklemm', 'Galithil', 'matrulda', 'SpikyClip', 'jordwil', 'Hammarn', 'sofiahaglund', 'kviljoen', 'mvanins', 'colindaven', 'aanil', 'adomingues', 'Puumanamana', 'jun-wan', 'zxl124', 'skrakau', 'orionzhou', 'c-mertes', 'pcantalupo', 'amayer21', 'mashehu', 'mahesh-panchal', 'drejom', 'apeltzer', 'lpantano', 'silviamorins', 'abhi18av', 'vezzi', 'ppericard', 'senthil10', 'ewels', 'jemten', 'grst', 'Emiller88', 'FriederikeHanssen', 'na399', 'JoseEspinosa', 'marchoeppner', 'george-hall-ucl', 'jburos', 'KevinMenden', 'vincenthhu', 'yuxuth', 'BABS-STP1', 'raygozag', 'd4straub', 'chuan-wang', 'robsyme', 'pditommaso', 'drpowell', 'jianhong', 'rbpisupati', 'olgabot', 'ggabernet', 'alneberg', 'arontommi', 'drpatelh']",12,"['nf-core-westest', 'pathogen', 'nf-core-hicar', 'nfcore-rnaseq', 'test_nfcore_workflow_chain', 'gatk', 'RNASEQ', 'nf-haplocaller', 'metaflowmics', 'magph', 'universalModule', 'rnaseq']"
12,11,['BEDTools'],5,"['ABMicroBioinf', 'xiaoli-dong', 'sguizard', 'ATpoint', 'xmuyulab']",5,"['lmyiing', 'xiaoli-dong', 'sguizard', 'ATpoint', 'huhehaotecrystal']",5,"['pathogen', 'atac_chip_preprocess', 'nf-feelnc', 'magph', 'scRNAseq_pipelines']"
13,7,['SAMtools'],6,"['nf-core', 'mahesh-panchal', 'jianhong', 'nf-modules', 'ABMicroBioinf', 'xiaoli-dong']",106,"['Mxrcon', 'kevbrick', 'Midnighter', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'apeltzer', 'kmurat1', 'lskatz', 'Erkison', 'tamara-hodgetts', 'charles-plessy', 'Darcy220606', 'rannick', 'oschwengers', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'alexandregilardet', 'tamuanand', 'SPPearce', 'jinmingda', 'jianhong', 'pditommaso', 'hseabolt', 'SusiJo', 'mjakobs', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'mashehu', 'jfy133', 'candiceh08', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'mjcipriano', 'fbdtemme', 'sateeshperi', 'MillironX', 'muffato', 'xiaoli-dong', 'Gwennid', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'nickhsmith', 'MGordon09', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'pericsson', 'phue', 'lescai', 'annacprice', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",5,"['gatk', 'test_nfcore_workflow_chain', 'modules', 'magph', 'universalModule']"
14,5,['Bowtie'],5,"['nf-core', 'NCBI-Codeathons', 'cirrina', 'ABMicroBioinf', 'xiaoli-dong']",111,"['Mxrcon', 'ksaunders73', 'kevbrick', 'Midnighter', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'apeltzer', 'kmurat1', 'lskatz', 'Erkison', 'tamara-hodgetts', 'alexa-salsbury', 'charles-plessy', 'Darcy220606', 'rannick', 'oschwengers', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'alexandregilardet', 'tamuanand', 'SPPearce', 'jinmingda', 'jianhong', 'pditommaso', 'hseabolt', 'SusiJo', 'mjakobs', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'mashehu', 'jfy133', 'candiceh08', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'mjcipriano', 'fbdtemme', 'sateeshperi', 'MillironX', 'muffato', 'xiaoli-dong', 'Gwennid', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'nickhsmith', 'MGordon09', 'emnilsson', 'heuermh', 'mahesh-panchal', 'YanFangBio', 'drice-codeathons', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'pericsson', 'phue', 'lescai', 'annacprice', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'cirrina', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",5,"['pathogen', 'modules', 'magph', 'ctg-rnaseq', 'lung-rna-seq']"
15,6,['FastQC'],5,"['nf-core', 'jianhong', 'ABMicroBioinf', 'xiaoli-dong', 'mamanambiya']",115,"['Mxrcon', 'nf-core-bot', 'saramonzon', 'ktrns', 'Midnighter', 'kevbrick', 'mamanambiya', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'apeltzer', 'kmurat1', 'stevin-wilson', 'lskatz', 'Erkison', 'tamara-hodgetts', 'charles-plessy', 'Darcy220606', 'rannick', 'oschwengers', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'jcurado-flomics', 'alexandregilardet', 'tamuanand', 'SPPearce', 'jinmingda', 'jianhong', 'pditommaso', 'hseabolt', 'SusiJo', 'mjakobs', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'mashehu', 'jfy133', 'candiceh08', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'fbdtemme', 'mjcipriano', 'sateeshperi', 'MillironX', 'muffato', 'xiaoli-dong', 'Gwennid', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'MiguelJulia', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'nickhsmith', 'MGordon09', 'svarona', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'ErikaKvalem', 'abhi18av', 'maxibor', 'pericsson', 'phue', 'lescai', 'annacprice', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",6,"['pathogen', 'viralrecon', 'modules', 'magph', 'universalModule', 'popfreqs']"
16,11,['Picard'],10,"['erikwaskiewicz', 'nf-core', 'ASKAP-EMUCat', 'canceromics', 'aws-samples', 'samlhao', 'ABMicroBioinf', 'xiaoli-dong', 'xmuyulab', 'MDU-PHL']",33,"['maxulysse', 'nf-core-bot', 'amazon-auto', 'xiaoli-dong', 'evanfloden', 'charles-plessy', 'sc13-bioinf', 'likelet', 'jmarvil', 'ashildv', 'alexhbnr', 'juneb4869', 'scarlhoff', 'mderan-da', 'TCLamnidis', 'canceromics', 'jfy133', 'lmyiing', 'maxibor', 'ZandraFagernas', 'aidaanva', 'ewels', 'phue', 'alexandregilardet', 'huhehaotecrystal', 'erikwaskiewicz', 'andersgs', 'davepallot', 'IdoBar', 'olgabot', 'ggabernet', 'apeltzer', 'drpatelh']",10,"['pathogen', 'emucat_workflows', 'MeRIPseqPipe', 'bamsurgeon-nextflow', 'kovid-trees-nf', 'eager', 'magph', 'aws-gatk-recipe-nextflow-pipeline', 'nf-core-abricate', 'scRNAseq_pipelines']"
17,4,['SAMtools'],3,"['ASKAP-EMUCat', 'ABMicroBioinf', 'xiaoli-dong']",3,"['xiaoli-dong', 'jmarvil', 'davepallot']",3,"['pathogen', 'magph', 'emucat_workflows']"
18,28,['Picard'],12,"['erikwaskiewicz', 'nf-core', 'jgolob', 'StaPH-B', 'ABMicroBioinf', 'xiaoli-dong', 'telatin', 'chelauk', 'ATpoint', 'nibscbioinformatics', 'AGROSAVIABIOUNIT', 'xmuyulab']",50,"['LeuThrAsp', 'maxulysse', 'nf-core-bot', 'xiaoli-dong', 'Gwennid', 'evanfloden', 'charles-plessy', 'ramprasadn', 'telatin', 'sc13-bioinf', 'ljmesi', 'Zethson', 'rannick', 'bleazard', 'ashildv', 'alexhbnr', 'ATpoint', 'scarlhoff', 'jpfeuffer', 'TCLamnidis', 'sminot', 'avantonder', 'jfy133', 'ignaciot', 'vmikk', 'maxibor', 'ZandraFagernas', 'bwlang', 'aidaanva', 'lmyiing', 'jemten', 'ewels', 'chelauk', 'ypriverol', 'phue', 'lescai', 'alexandregilardet', 'drpatelh', 'KevinMenden', 'huhehaotecrystal', 'erikwaskiewicz', 'antunderwood', 'jgolob', 'thanhleviet', 'IdoBar', 'olgabot', 'ggabernet', 'projectoriented', 'apeltzer', 'AGROSAVIABIOUNIT']",16,"['nextflow-example', 'pathogen', 'ctdna-project', 'atac_chip_preprocess', 'maliampi', 'proteomicslfq', 'bactmap', 'viralevo', 'raredisease', 'magph', 'eager', 'nf-core-deepsnv', 'mycosnp', 'nascent', 'scRNAseq_pipelines', 'nextflow_conda_cutadapt']"
19,10,['STAR'],10,"['nf-core', 'ASKAP-EMUCat', 'jgolob', 'ABMicroBioinf', 'xiaoli-dong', 'alam1988', 'nibscbioinformatics', 'MaddalenaCella', 'xmuyulab', 'caspargross']",62,"['rfenouil', 'rsuchecki', 'maxulysse', 'sven1103', 'nf-core-bot', 'pranathivemuri', 'xiaoli-dong', 'veeravalli', 'paulklemm', 'Galithil', 'kaurravneet4123', 'MaddalenaCella', 'matrulda', 'jordwil', 'Hammarn', 'sofiahaglund', 'kviljoen', 'mvanins', 'colindaven', 'aanil', 'jmarvil', 'jun-wan', 'zxl124', 'skrakau', 'alam1988', 'orionzhou', 'pcantalupo', 'sminot', 'amayer21', 'mashehu', 'drejom', 'apeltzer', 'lpantano', 'silviamorins', 'lmyiing', 'abhi18av', 'ppericard', 'vezzi', 'senthil10', 'ewels', 'jemten', 'grst', 'na399', 'FriederikeHanssen', 'marchoeppner', 'TrisKast', 'jburos', 'huhehaotecrystal', 'KevinMenden', 'BABS-STP1', 'd4straub', 'chuan-wang', 'robsyme', 'pditommaso', 'jgolob', 'davepallot', 'olgabot', 'ggabernet', 'alneberg', 'arontommi', 'drpatelh', 'caspargross']",9,"['nf-lcWGS-mapping-and-imputation', 'emucat_workflows', 'nf-core-conva', 'maliampi', 'magph', 'Nextflow', 'cageseq', 'scRNAseq_pipelines', 'HybridAssembly']"
20,2,['SAMtools'],1,['ABMicroBioinf'],1,['xiaoli-dong'],2,"['pathogen', 'nf-qc']"
21,1,"['kraken2', 'Bracken']",1,['ABMicroBioinf'],1,['xiaoli-dong'],1,['nf-qc']
22,1,['FastQC'],1,['ABMicroBioinf'],1,['xiaoli-dong'],1,['nf-qc']
23,1,['MultiQC'],1,['ABMicroBioinf'],1,['xiaoli-dong'],1,['nf-qc']
24,1,['BWA'],1,['ABMicroBioinf'],1,['xiaoli-dong'],1,['nf-tb']
25,1,"['BWA', 'SAMtools', 'SAMtools', 'SAMtools']",1,['ABMicroBioinf'],1,['xiaoli-dong'],1,['nf-tb']
26,1,"['snippy', 'BCFtools']",1,['ABMicroBioinf'],1,['xiaoli-dong'],1,['nf-tb']
27,1,['BCFtools'],1,['ABMicroBioinf'],1,['xiaoli-dong'],1,['nf-tb']
