,list_contrib,list_own,list_wf,nb_contrib,nb_own,nb_reuse,nb_wf,tools
205,"{'ggabernet', 'jpfeuffer', 'ypriverol', 'KaiLiCn', 'maxulysse', 'higsch', 'wenbostar', 'Zethson', 'apeltzer', 'glormph', 'nf-core-bot'}","{'higsch', 'nf-core', 'bzhanglab', 'Leon-Bichmann', 'glormph'}","{'nf-core-labelcheck', 'nf-core-dda-quant-proteomics', 'Phosphoproteomics', 'togetherforever', 'DeepRescore', 'proteomicslfq'}",11.0,5.0,8.0,6.0,['Percolator']
206,"{'neevor', 'lucacozzuto', 'tobsecret', 'dshafranskaya', 'marchoeppner', 'npacc', 'peterk87', 'Takadonet', 'palfalvi', 'vpeddu', 'hoelzer', 'Solyris83', 'heuermh', 'kevbrick', 'sarseq', 'm-bull', 'RVanDamme', 'danrlu', 'cnoel-sebimer', 'toniher', 'batson', 'idfarbanecha', 'DarianHole', 'MarieLataretu', 'andrewprzh', 'samlhao', 'lstevens17', 'caspargross', 'lleroi', 'esteinig', 'b16joski', 'DataSpott', 'RaverJay', 'jackkamm', 'angelovangel', 'jkirangw', 'KevinMenden', 'pditommaso', 'cdiener', 'bwlang', 'louperelo', 'laure182', 'daviesdrew', 'drpatelh', 'jimmyliu1326', 'alexcorm', 'brucemoran', 'pgonzale60', 'apeltzer', 'olgabot', 'replikation', 'esrice', 'mult1fractal'}","{'ikmb', 'tobsecret', 'biocorecrg', 'npacc', 'peterk87', 'palfalvi', 'hoelzer', 'Solyris83', 'kevbrick', 'WarrenLab', 'sarseq', 'RVanDamme', 'tolkit', 'ablab', 'phac-nml', 'connor-lab', 'czbiohub', 'caspargross', 'imgag', 'jkirangw', 'KevinMenden', 'ifremer-bioinformatics', 'np-core', 'louperelo', 'metagenlab', 'daviesdrew', 'jimmyliu1326', 'brucemoran', 'replikation', 'Gibbons-Lab', 'vpeddu'}","{'qc_nextflow', 'nanopore_gDNA_CNA', 'nanopore', 'poreCov', 'docker_pipelines', 'samba', 'longread-polish-nf', 'modules', 'ncov-dehoster', 'ev-meta', 'pipeIt', 'variantcalling', 'covid19', 'MUFFIN', 'mgnify-lr', 'tCANS', 'longmetarg', 'purge-haplotigs-nf', 'nanoporeseq', 'nf-virontus', 'sc2-illumina-pipeline', 'clean', 'metaGT', 'longread-svs-nf', 'xPORE_nextflow', 'HIV-Drug-Resistance', 'plasmIDent', 'nemADSQ', 'hybrid-assembly', 'pipelines', 'BioNextflow', 'sarseq2', 'flye-assembly', 'sc2-ngs-analysis', 'WORMpipe'}",53.0,31.0,47.0,35.0,"['Minimap2', 'SAMtools']"
207,{'palfalvi'},{'palfalvi'},{'nanoporeseq'},1.0,1.0,2.0,1.0,"['Mikado', 'Mikado']"
208,"{'erikrikarddaniel', 'alexandregilardet', 'arontommi', 'annacprice', 'drpowell', 'antunderwood', 'JoseEspinosa', 'adomingues', 'kmurat1', 'Darcy220606', 'Midnighter', 'nebfield', 'Hammarn', 'Mxrcon', 'sofstam', 'd4straub', 'na399', 'nf-core-bot', 'nickhsmith', 'rannick', 'andersgs', 'FriederikeHanssen', 'tamuanand', 'sguizard', 'kviljoen', 'ljmesi', 'matrulda', 'zxl124', 'ramprasadn', 'pditommaso', 'mjakobs', 'lskatz', 'louperelo', 'olgabot', 'rpetit3', 'lassefolkersen', 'BABS-STP1', 'sven1103', 'marchoeppner', 'jfnavarro', 'SpikyClip', 'Galithil', 'Danilo2771', 'Emiller88', 'heuermh', 'yocra3', 'avantonder', 'grst', 'jburos', 'stevekm', 'suzannejin', 'njspix', 'maxibor', 'Erkison', 'Jeremy1805', 'candiceh08', 'mjcipriano', 'abotzki', 'jinmingda', 'muffato', 'MGordon09', 'vezzi', 'pranathivemuri', 'mvanins', 'jfy133', 'silviamorins', 'ray1919', 'sateeshperi', 'mashehu', 'sima-r', 'ajodeh-juma', 'oschwengers', 'Mark-S-Hill', 'jun-wan', 'subwaystation', 'paulklemm', 'AntoniaSchuster', 'ppericard', 'kojix2', 'hseabolt', 'pericsson', 'ewels', 'kevbrick', 'raygozag', 'MillironX', 'fullama', 'phue', 'santiagorevale', 'praveenraj2018', 'sruthipsuresh', 'lescai', 'alneberg', 'BatoolMM', 'alam1988', 'lpantano', 'rfenouil', 'tamara-hodgetts', 'riederd', 'bunop', 'veeravalli', 'KevinMenden', 'skrakau', 'yuukiiwa', 'chris-cheshire', 'spficklin', 'charles-plessy', 'Gwennid', 'RHReynolds', 'maxulysse', 'emnilsson', 'drpatelh', 'thanhleviet', 'abhi18av', 'jordwil', 'apeltzer', 'mahesh-panchal', 'i-pletenev', 'fmalmeida', 'ntoda03', 'amayer21', 'SPPearce', 'FelixKrueger', 'aleksandrabliznina', 'george-hall-ucl', 'evanfloden', 'senthil10', 'chuan-wang', 'robsyme', 'Akazhiel', 'SusiJo', 'orionzhou', 'jianhong', 'sysbiocoder', 'alex-botzki', 'klkeys', 'ggabernet', 'colindaven', 'c-mertes', 'GCJMackenzie', 'jemten', 'drejom', 'rsuchecki', 'FloWuenne', 'pcantalupo', 'projectoriented', 'kaurravneet4123', 'sofiahaglund', 'aanil', 'bjohnnyd', 'lauramble', 'fbdtemme', 'piotr-faba-ardigen', 'sidorov-si'}","{'ray1919', 'Akazhiel', 'alam1988', 'junyu-boston', 'vibbits', 'nf-core', 'lauramble', 'harleenduggal', 'raygozag', 'mahesh-panchal'}","{'lRNA-Seq', 'Nextflow', 'RNASEQ', 'modules', 'nfcore-rnaseq', 'dicerna-rnaseq', 'rnaseq-editing', 'rnaseq', 'test_nfcore_workflow_chain', 'rnaseq-vizfada', 'NeoPred-NF'}",153.0,10.0,12.0,11.0,"['QualiMap', 'RNASEQR']"
209,{'peterk87'},{'peterk87'},{'nf-ionampliseq'},1.0,1.0,1.0,1.0,"['TMAP', 'TMAP', 'SAMtools', 'SAMtools']"
210,"{'erikrikarddaniel', 'alexandregilardet', 'arontommi', 'annacprice', 'ktrns', 'antunderwood', 'JoseEspinosa', 'kmurat1', 'Darcy220606', 'Midnighter', 'nebfield', 'Mxrcon', 'sofstam', 'd4straub', 'nickhsmith', 'rannick', 'nf-core-bot', 'andersgs', 'FriederikeHanssen', 'tamuanand', 'sguizard', 'ljmesi', 'ramprasadn', 'pditommaso', 'mjakobs', 'MiguelJulia', 'lskatz', 'louperelo', 'ErikaKvalem', 'lassefolkersen', 'rpetit3', 'jfnavarro', 'Danilo2771', 'Emiller88', 'heuermh', 'jcurado-flomics', 'yocra3', 'avantonder', 'grst', 'stevekm', 'njspix', 'suzannejin', 'maxibor', 'Erkison', 'Jeremy1805', 'candiceh08', 'mjcipriano', 'jinmingda', 'muffato', 'MGordon09', 'stevin-wilson', 'jfy133', 'sateeshperi', 'mashehu', 'sima-r', 'ajodeh-juma', 'oschwengers', 'Mark-S-Hill', 'subwaystation', 'AntoniaSchuster', 'kojix2', 'hseabolt', 'pericsson', 'ewels', 'kevbrick', 'MillironX', 'fullama', 'phue', 'santiagorevale', 'praveenraj2018', 'sruthipsuresh', 'lescai', 'BatoolMM', 'tamara-hodgetts', 'riederd', 'bunop', 'KevinMenden', 'yuukiiwa', 'chris-cheshire', 'spficklin', 'charles-plessy', 'Gwennid', 'RHReynolds', 'maxulysse', 'emnilsson', 'drpatelh', 'thanhleviet', 'apeltzer', 'abhi18av', 'mahesh-panchal', 'i-pletenev', 'fmalmeida', 'ntoda03', 'SPPearce', 'FelixKrueger', 'aleksandrabliznina', 'svarona', 'SusiJo', 'saramonzon', 'jianhong', 'sysbiocoder', 'klkeys', 'ggabernet', 'c-mertes', 'GCJMackenzie', 'jemten', 'FloWuenne', 'projectoriented', 'kaurravneet4123', 'bjohnnyd', 'fbdtemme', 'piotr-faba-ardigen', 'sidorov-si'}","{'nf-core', 'mahesh-panchal'}","{'test_nfcore_workflow_chain', 'modules', 'viralrecon'}",113.0,2.0,3.0,3.0,"['SAMtools', 'mpileup', 'AIVAR', 'Consensus']"
211,"{'rivera10', 'cagescudero', 'michieitel'}",{'PalMuc'},{'TransPi'},3.0,1.0,1.0,1.0,['Oases']
212,{'aivo0'},{'taltechnlp'},{'est-asr-pipeline'},1.0,1.0,2.0,1.0,['segmentSeq']
213,"{'pinin4fjords', 'sminot'}","{'ebi-gene-expression-group', 'FredHutch'}","{'AMGMA', 'scanpy-workflow'}",2.0,2.0,2.0,2.0,['AnnotationDbi']
214,"{'erikrikarddaniel', 'alexandregilardet', 'arontommi', 'annacprice', 'ktrns', 'antunderwood', 'JoseEspinosa', 'kmurat1', 'Darcy220606', 'Midnighter', 'nebfield', 'Mxrcon', 'sofstam', 'd4straub', 'nickhsmith', 'rannick', 'nf-core-bot', 'andersgs', 'FriederikeHanssen', 'tamuanand', 'sguizard', 'ljmesi', 'ramprasadn', 'pditommaso', 'mjakobs', 'MiguelJulia', 'lskatz', 'louperelo', 'ErikaKvalem', 'lassefolkersen', 'rpetit3', 'jfnavarro', 'Danilo2771', 'Emiller88', 'heuermh', 'jcurado-flomics', 'yocra3', 'avantonder', 'grst', 'stevekm', 'njspix', 'suzannejin', 'maxibor', 'Erkison', 'Jeremy1805', 'candiceh08', 'mjcipriano', 'jinmingda', 'muffato', 'MGordon09', 'stevin-wilson', 'jfy133', 'sateeshperi', 'mashehu', 'sima-r', 'ajodeh-juma', 'oschwengers', 'Mark-S-Hill', 'subwaystation', 'AntoniaSchuster', 'kojix2', 'hseabolt', 'pericsson', 'ewels', 'kevbrick', 'MillironX', 'fullama', 'phue', 'santiagorevale', 'praveenraj2018', 'sruthipsuresh', 'lescai', 'BatoolMM', 'tamara-hodgetts', 'riederd', 'bunop', 'KevinMenden', 'yuukiiwa', 'chris-cheshire', 'spficklin', 'charles-plessy', 'Gwennid', 'RHReynolds', 'maxulysse', 'emnilsson', 'drpatelh', 'thanhleviet', 'apeltzer', 'abhi18av', 'mahesh-panchal', 'i-pletenev', 'fmalmeida', 'ntoda03', 'SPPearce', 'FelixKrueger', 'aleksandrabliznina', 'svarona', 'SusiJo', 'saramonzon', 'jianhong', 'sysbiocoder', 'klkeys', 'ggabernet', 'c-mertes', 'GCJMackenzie', 'jemten', 'FloWuenne', 'projectoriented', 'kaurravneet4123', 'bjohnnyd', 'fbdtemme', 'piotr-faba-ardigen', 'sidorov-si'}","{'nf-core', 'mahesh-panchal'}","{'test_nfcore_workflow_chain', 'modules', 'viralrecon'}",113.0,2.0,3.0,3.0,"['SAMtools', 'mpileup', 'AIVAR']"
215,"{'rernst', 'michaelbale', 'ellendejong', 'melferink', 'ywilke', 'sawibo', 'ffmmulder'}","{'UMCUGenetics', 'michaelbale'}","{'NextflowModules', 'JLab-IPSeqFlow'}",7.0,2.0,2.0,2.0,['Sambamba']
216,"{'jgolob', 'sminot', 'Channing-Zeng'}","{'jgolob', 'Channing-Zeng'}","{'maliampi', 'metagenomics-nf'}",3.0,2.0,2.0,2.0,"['TaxIt', 'MoDEL']"
217,"{'alexandregilardet', 'ZandraFagernas', 'alexhbnr', 'archgen', 'ewels', 'IdoBar', 'evanfloden', 'TCLamnidis', 'ashildv', 'maxibor', 'phue', 'sc13-bioinf', 'nf-core-bot', 'ggabernet', 'aidaanva', 'jfy133', 'scarlhoff', 'charles-plessy', 'maxulysse', 'drpatelh', 'apeltzer', 'olgabot'}","{'archgen', 'nf-core'}","{'ACAD_Nextflow_Pipeline', 'eager'}",22.0,2.0,2.0,2.0,"['BaMM', 'SAMtools', 'SAMtools']"
218,"{'tbukur', 'bhbhjs', 'priesgo', 'LordRust', 'carlo-berg', 'CENMIG', 'tronbfxdev', 'sofsta', 'bokelund', 'patricksorn', 'faithman', 'danielecook', 'b600a', 'ythaworn', 'JPWerling', 'sylvinite', 'katiesevans'}","{'TRON-Bioinformatics', 'CENMIG', 'faithman', 'b600a', 'Clinical-Genomics-Linkoping', 'AndersenLab'}","{'snpplet', 'tuber', 'gms-JASEN', 'variant-nf', 'wi-gatk', 'covigator-ngs-pipeline'}",17.0,6.0,8.0,6.0,"['GATK', 'BCFtools']"
219,"{'erikrikarddaniel', 'alexandregilardet', 'loipf', 'arontommi', 'annacprice', 'aduvermy', 'ktrns', 'antunderwood', 'AGROSAVIABIOUNIT', 'kkuret', 'JoseEspinosa', 'kmurat1', 'TrisKast', 'matt-sd-watson', 'exsquire', 'BrianLohman', 'Midnighter', 'mpozuelo-flomics', 'hpliner', 'Darcy220606', 'nebfield', 'skiniry', 'lobleya', 'Mxrcon', 'sofstam', 'd4straub', 'nf-core-bot', 'nickhsmith', 'rannick', 'jtangrot', 'andersgs', 'FriederikeHanssen', 'tamuanand', 'alexpiper', 'sguizard', 'ljmesi', 'maelyg', 'ramprasadn', 'oisinmccaffrey', 'pditommaso', 'mjakobs', 'MiguelJulia', 'craigwindell', 'NajlaBioinfo', 'lskatz', 'louperelo', 'ErikaKvalem', 'rpetit3', 'lassefolkersen', 'jfnavarro', 'stekaz', 'Danilo2771', 'Emiller88', 'yuxuth', 'heuermh', 'jcurado-flomics', 'zhangtong516', 'yocra3', 'avantonder', 'grst', 'stevekm', 'asafpr', 'suzannejin', 'njspix', 'maxibor', 'Erkison', 'mpozuelo', 'Jeremy1805', 'FitzsimmonsCM', 'candiceh08', 'DaneVass', 'lengfei5', 'mjcipriano', 'jinmingda', 'ggrimes', 'aneichyk', 'MGordon09', 'muffato', 'alemenze', 'stevin-wilson', 'Puumanamana', 'DiegoBrambilla', 'sminot', 'duanjunhyq', 'jfy133', 'sateeshperi', 'mashehu', 'bwlang', 'sima-r', 'PhilPalmer', 'ajodeh-juma', 'oschwengers', 'Mark-S-Hill', 'subwaystation', 'cometsong', 'xingaulaglag', 'aishwaryagogate', 'AntoniaSchuster', 'kojix2', 'ojziff', 'hseabolt', 'pericsson', 'ewels', 'kevbrick', 'MillironX', 'idot', 'fullama', 'alexthiery', 'BHNtools', 'phue', 'santiagorevale', 'praveenraj2018', 'Landris18', 'sruthipsuresh', 'lescai', 'ralsallaq', 'DimmestP', 'BatoolMM', 'tamara-hodgetts', 'riederd', 'bunop', 'amchakra', 'KevinMenden', 'yuukiiwa', 'chris-cheshire', 'spficklin', 'charles-plessy', 'Gwennid', 'RHReynolds', 'maxulysse', 'emnilsson', 'drpatelh', 'Rahul1711arora', 'thanhleviet', 'clairecoleman1', 'apeltzer', 'mingxinliu', 'abhi18av', 'mahesh-panchal', 'i-pletenev', 'fmalmeida', 'ntoda03', 'zsteve', 'SPPearce', 'JamesChoi94', 'FelixKrueger', 'bleazard', 'Channing-Zeng', 'aleksandrabliznina', 'svarona', 'charlotte-west', 'SusiJo', 'saramonzon', 'jianhong', 'brgew', 'sysbiocoder', 'anwarMZ', 'klkeys', 'ggabernet', 'lilu-martin', 'colindaven', 'c-mertes', 'JackCurragh', 'CharlotteAnne', 'GCJMackenzie', 'jemten', 'FloWuenne', 'projectoriented', 'kaurravneet4123', 'BeibeiDu', 'mbradyneeley', 'bjohnnyd', 'fbdtemme', 'piotr-faba-ardigen', 'sidorov-si'}","{'zsteve', 'cometsong', 'laclac102', 'loipf', 'aduvermy', 'FredHutch', 'AGROSAVIABIOUNIT', 'JamesChoi94', 'bioatlas', 'Channing-Zeng', 'nf-core', 'zhangtong516', 'matt-sd-watson', 'exsquire', 'BrianLohman', 'nibscbioinformatics', 'mpozuelo', 'jianhong', 'FitzsimmonsCM', 'DaneVass', 'cidgoh', 'lobleya', 'lengfei5', 'bbi-lab', 'ralsallaq', 'ggrimes', 'DimmestP', 'MGordon09', 'ampatchlab', 'alexpiper', 'alemenze', 'JackCurragh', 'crickbabs', 'oisinmccaffrey', 'eresearchqut', 'hawaiidatascience', 'luslab', 'csf-ngs', 'independentdatalab', 'NajlaBioinfo', 'mbradyneeley', 'hukai916', 'clairecoleman1', 'mingxinliu', 'mahesh-panchal'}","{'RNAseq-variant-calling-nf', 'nf-pdx', 'riboseq_data_processing', 'demo_nfcore_obsolete', 'cageseq', 'metaGx_nf', 'LipidModule', 'ampliseq', 'clipseq1', 'modules', 'nextflow_paired_reads_pipeline', 'diminion', 'nf-typeHLA', 'clipseq.nextflow', 'nf-dnaseq', 'crispy-chainsaw', 'ampliflow', 'RNASeq_Pipeline', 'MGI_demux', 'nf-riboseq', 'qualityControl_byBABS', 'controldna', 'nfp4MBC', 'smallRNA_nf', 'GATK4_WGS', 'nf-rnasnv', 'metagenomics-nf', 'nextflow_misc', 'QC_demux', 'nf-clip', 'pdx-nf', 'viralrecon', 'magicuniqueamplicons', 'ATAC_Seq_nxf', 'nf-core-hicar', 'metaflowmics', 'nf-core-conva', 'cidgoh_qc', 'VirReport', 'bbi-sci', 'viralevo', 'icpipe-nextflow', 'RNAseq_Nextflow', 'hisq_paired_rnasq', 'piperline', 'nf-rnaseq', 'nextflow_conda_cutadapt', 'BARtab', 'rnaSeq_byBABS', 'DNAseq-pipeline', 'nf-ATAC', 'nf-core-buggybarcodes', 'VMAA', 'quantitative_nucleosome_analysis', 'test_nfcore_workflow_chain', 'nf-core-viralevo', 'clipseq', 'demultiplexing'}",175.0,45.0,73.0,58.0,['Cutadapt']
220,"{'erikrikarddaniel', 'alexandregilardet', 'arontommi', 'annacprice', 'antunderwood', 'JoseEspinosa', 'kmurat1', 'Darcy220606', 'Midnighter', 'nebfield', 'Mxrcon', 'sofstam', 'd4straub', 'xiaoli-dong', 'nf-core-bot', 'rannick', 'nickhsmith', 'andersgs', 'FriederikeHanssen', 'rivera10', 'tamuanand', 'sguizard', 'ljmesi', 'ramprasadn', 'pditommaso', 'mjakobs', 'lskatz', 'louperelo', 'lassefolkersen', 'rpetit3', 'jfnavarro', 'Danilo2771', 'palfalvi', 'Emiller88', 'heuermh', 'yocra3', 'avantonder', 'grst', 'stevekm', 'njspix', 'suzannejin', 'RVanDamme', 'maxibor', 'Erkison', 'Jeremy1805', 'mzahm', 'candiceh08', 'mjcipriano', 'jinmingda', 'cbirbes', 'muffato', 'MGordon09', 'alemenze', 'angelovangel', 'jfy133', 'sateeshperi', 'mashehu', 'xlinxlin', 'sima-r', 'ajodeh-juma', 'oschwengers', 'Mark-S-Hill', 'subwaystation', 'AntoniaSchuster', 'hoelzer', 'kojix2', 'hseabolt', 'pericsson', 'ewels', 'kevbrick', 'MillironX', 'fullama', 'phue', 'santiagorevale', 'praveenraj2018', 'sruthipsuresh', 'lescai', 'BatoolMM', 'tamara-hodgetts', 'riederd', 'bunop', 'KevinMenden', 'yuukiiwa', 'chris-cheshire', 'spficklin', 'charles-plessy', 'Gwennid', 'RHReynolds', 'maxulysse', 'emnilsson', 'drpatelh', 'thanhleviet', 'abhi18av', 'apeltzer', 'mahesh-panchal', 'i-pletenev', 'mult1fractal', 'fmalmeida', 'ntoda03', 'SPPearce', 'FelixKrueger', 'aleksandrabliznina', 'SusiJo', 'jianhong', 'sysbiocoder', 'klkeys', 'ggabernet', 'c-mertes', 'GCJMackenzie', 'jemten', 'FloWuenne', 'projectoriented', 'kaurravneet4123', 'bewt85', 'bjohnnyd', 'replikation', 'fbdtemme', 'piotr-faba-ardigen', 'sidorov-si'}","{'cbirbes', 'RVanDamme', 'alemenze', 'ABMicroBioinf', 'palfalvi', 'hoelzer', 'nf-core', 'replikation', 'xiaoli-dong'}","{'NextFlowPipeline', 'nanovirus', 'MUFFIN', 'mgnify-lr', 'pathogen', 'modules', 'bacass', 'nanoporeseq', 'ONT-polish', 'magph', 'docker_pipelines', 'bact-builder'}",119.0,9.0,14.0,12.0,['Racon']
221,"{'QuentinLetourneur', 'aghozlane'}",{'QuentinLetourneur'},{'Let-it-bin'},2.0,1.0,1.0,1.0,"['clc_assembler', 'MEGAHIT']"
222,"{'chbk', 'peterwharrison', 'cguyomar', 'sdjebali'}",{'FAANG'},{'analysis-TAGADA'},4.0,1.0,1.0,1.0,"['BED', 'BEDTools']"
223,"{'HadrienG', 'fmalmeida', 'BioWilko', 'caspargross', 'alesssia', 'vmurigneu', 'esteinig', 'LeahRoberts', 'thomcuddihy', 'jhayer', 'shaze'}","{'HadrienG', 'fmalmeida', 'np-core', 'BioWilko', 'caspargross', 'Vikash84'}","{'nf-core-denovohybrid', 'HybridAssembly', 'modules', 'micropipe', 'nanoflow', 'Papaya', 'MpGAP'}",11.0,6.0,7.0,7.0,"['Minimap2', 'Racon']"
224,{'Simontuk'},{'Simontuk'},{'sprint_covseq'},1.0,1.0,1.0,1.0,"['FastQC', 'fastPHASE', 'Bowtie', 'SAMtools', 'BEDTools', 'mosdepth', 'Picard', 'AIVAR', 'BCFtools', 'snpEff', 'Cutadapt', 'kraken2', 'Unicycler', 'Minia', 'G-BLASTN', 'Bandage', 'Minimap2', 'VGE', 'MultiQC']"
225,"{'J35P312', 'erikrikarddaniel', 'alexandregilardet', 'MSBradshaw', 'arontommi', 'annacprice', 'malinlarsson', 'JoseEspinosa', 'antunderwood', 'kmurat1', 'huhehaotecrystal', 'lmyiing', 'Darcy220606', 'Midnighter', 'nebfield', 'rmoran7', 'andreas-wilm', 'leebrian', 'lobleya', 'madhyastha', 'Mxrcon', 'sofstam', 'b600a', 'd4straub', 'SergFern', 'nf-core-bot', 'nickhsmith', 'rannick', 'cjjossart', 'andersgs', 'FriederikeHanssen', 'tamuanand', 'sguizard', 'BrunoGrandePhD', 'ljmesi', 'WhoisDonlee', 'adrlar', 'SimonDMurray', 'doudoufeishangtian', 'ramprasadn', 'wheelern', 'pditommaso', 'a-lud', 'Sebastian-D', 'mjakobs', 'lconde-ucl', 'lskatz', 'louperelo', 'RichardCorbett', 'shashidhar22', 'brucemoran', 'olgabot', 'rpetit3', 'lassefolkersen', 'jfnavarro', 'didillysquat', 'Danilo2771', 'Emiller88', 'ghuls', 'heuermh', 'mohammedkhalfan', 'yocra3', 'avantonder', 'grst', 'stevekm', 'njspix', 'suzannejin', 'maxibor', 'Erkison', 'Jeremy1805', 'candiceh08', 'amazon-auto', 'ellendejong', 'azure-pipelines[bot]', 'pprieto', 'mjcipriano', 'jinmingda', 'emi80', 'grbot', 'muffato', 'MGordon09', 'tronbfxdev', 'fredjaya', 'javaidm', 'ywilke', 'jfy133', 'pblaney', 'pallolason', 'davidmasp', 'erikwaskiewicz', 'sateeshperi', 'ElisabetThomsen', 'mashehu', 'sima-r', 'PhilPalmer', 'mciprianoCDC', 'ajodeh-juma', 'oschwengers', 'Mark-S-Hill', 'subwaystation', 'dweemx', 'mbosio85', 'cometsong', 'olavurmortensen', 'AntoniaSchuster', 'kojix2', 'hseabolt', 'jongtaek-kim', 'pericsson', 'ewels', 'kevbrick', 'cguyomar', 'MillironX', 'RitzelC', 'fullama', 'cgpu', 'vincenthhu', 'phue', 'santiagorevale', 'praveenraj2018', 'genericdata', 'dependabot[bot]', 'lescai', 'ffmmulder', 'sruthipsuresh', 'priesgo', 'alneberg', 'KrisDavie', 'BatoolMM', 'jackmo375', 'marcelm', 'tamara-hodgetts', 'riederd', 'bunop', 'm3hdad', 'sawibo', 'veeravalli', 'KevinMenden', 'skrakau', 'bhbhjs', 'yuukiiwa', 'zlye', 'chris-cheshire', 'spficklin', 'charles-plessy', 'Gwennid', 'RHReynolds', 'JasperO98', 'maxulysse', 'emnilsson', 'drpatelh', 'mamanambiya', 'thanhleviet', 'apeltzer', 'abhi18av', 'mahesh-panchal', 'i-pletenev', 'fmalmeida', 'ntoda03', 'SPPearce', 'CENMIG', 'jtk622', 'mderan-da', 'FelixKrueger', 'bleazard', 'melferink', 'aleksandrabliznina', 'noamteyssier', 'ythaworn', 'evanfloden', 'senthil10', 'szilvajuhos', 'robsyme', 'ryanlayer', 'Akazhiel', 'lbresadola', 'elyadlezmi', 'chelauk', 'SusiJo', 'jianhong', 'sysbiocoder', 'willemdek11', 'waffle-iron', 'R-Cardenas', 'klkeys', 'anvlasova', 'ggabernet', 'rernst', 'cschu', 'c-mertes', 'GCJMackenzie', 'jemten', 'cflerin', 'FloWuenne', 'pcantalupo', 'projectoriented', 'kaurravneet4123', 'lmtani', 'bjohnnyd', 'jamez-eh', 'fbdtemme', 'piotr-faba-ardigen', 'sidorov-si'}","{'TRON-Bioinformatics', 'aws-samples', 'ErasmusMC-Bioinformatics', 'fargenfo', 'CENMIG', 'didillysquat', 'UMCUGenetics', 'UCL-BLIC', 'nf-core', 'nf-modules', 'noamteyssier', 'xmuyulab', 'vib-singlecell-nf', 'cguyomar', 'rmoran7', 'nibscbioinformatics', 'Akazhiel', 'cgpu', 'c3g', 'bcgsc', 'chelauk', 'elyadlezmi', 'gis-rpd', 'CRG-CNAG', 'HugoMananet', 'lobleya', 'madhyastha', 'gencorefacility', 'R-Cardenas', 'danielyao12', 'b600a', 'sripaladugu', 'SergFern', 'vincenthhu', 'jamez-eh', 'cschu', 'Genomic-Medicine-Linkoping', 'WarrenLabFH', 'sickle-in-africa', 'GMS6804-master', 'fredjaya', 'javaidm', 'zamanianlab', 'SimonDMurray', 'doudoufeishangtian', 'h3abionet', 'pblaney', 'CDCgov', 'zlye', 'erikwaskiewicz', 'genomic-medicine-sweden', 'lmtani', 'lifebit-ai', 'brucemoran', 'ryanlayerlab', 'melnel000', 'mbosio85', 'cometsong'}","{'nf-workflows', 'ngs_variant_calling', 'tuber', 'consensus-variant-caller', 'Sarek_v2.3.FIX1', 'tumour_only', 'recalling', 'PON', 'Variant_Calling', 'covbench', 'rpd-sg10k-grch38-gatk4-gvcf-freebayes-vcf', 'nf-core-mutectplatypus', 'genflow-dnaseq', 'PGP-UK-sarek', 'dx_sarek', 'somatic_exome_n-of-1', 'mgp1000', 'humgen', 'sarek-mirror', 'nf-ase', 'mycosnp-nf', 'germline_somatic', 'scRNAseq_pipelines', 'DNA-pipeline', 'RareDisease_RNA_workflow', 'saw.snv-indel', 'nf-fh-pcp-wes-align', 'Sarek', 'GATK4_WGS', 'layer_lab_somatic_sv', 'vsn-pipelines', 'sparkling-gatk', 'NextflowModules', 'pgp-chronek', 'Sanders-workflows', 'gatk-nextflow-sample', 'ion-somatic-variant-calling', 'tronflow-haplotype-caller', 'ctdna-project', 'kopp_2021_fowl', 'test_nextflow_sarek', 'saw.sarek', 'batch_somatic', 'tronflow-bam-preprocessing', 'gatk', 'TMBur', 'RNAseq-VC-nf', 'sparkling-preprocessing', 'nextflow_pipelines', 'somatic-variant-caller', 'sarek_ubec', 'nf-fh-pcp-wes-mutect2', 'nf-core-westest', 'CalliNGS-NF', 'custom_sarek', 'samtools-index-nf', 'sarek-genomechronicler', 'layer_lab_chco', 'rnavar', 'mutscape', 'rnaseq_variant_calling', 'haplosarek', 'linkseq', 'WGSpipe-nf', 'nf-core-sarek', 'sarek-mirror-cache', 'exoseq', 'modules', 'aws-gatk-recipe-nextflow-pipeline', 'panelR', 'layer_lab_dna_seq_vc', 'nf-core-gatkcohortcall', 'layer_lab_caw', 'vortex_knight', 'Nextflow_Samtools-merge_gatk4-mutect2', 'sarek', 'GenomeChronicler-Sarek-nf', 'snpplet', 'somatic_n-of-1', 'RVE', 'ATAC_Seq_nxf', 'NextFlow-VC-pipeline', 'viral_genomics', 'RNA2CM', 'Sarek_CBIO', 'NeoPred-NF', 'gatk-joint-genotyping', 'layer_lab_vc', 'variant-calling-pipeline-gatk4', 'wf-human-mito', 'tronflow-mutect2'}",203.0,58.0,340.0,91.0,"['GATK', 'GATK']"
226,"{'Reda94', 'lengfei5', 'cmatKhan'}","{'Reda94', 'cmatKhan', 'lengfei5'}","{'GDC-RNAseq-pipeline', 'smallRNA_nf', 'brentlab_rnaseq_nf'}",3.0,3.0,3.0,3.0,"['SAMtools', 'htseqcount']"
