,Unnamed: 0,nb_reuse,tools,nb_own,list_own,nb_contrib,list_contrib,nb_wf,list_wf
320,320,18,['GATK'],8,"['nf-core', 'nibscbioinformatics', 'mahesh-panchal', 'CGUTA', 'nf-modules', 'CDCgov', 'mamanambiya', 'marcodelapierre']",118,"['Mxrcon', 'nf-core-bot', 'kevbrick', 'Midnighter', 'mamanambiya', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'csawye01', 'santiagorevale', 'alneberg', 'apeltzer', 'kmurat1', 'lskatz', 'Erkison', 'tamara-hodgetts', 'charles-plessy', 'Darcy220606', 'rannick', 'bleazard', 'oschwengers', 'cying111', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'alexandregilardet', 'tamuanand', 'SPPearce', 'jinmingda', 'CGUTA', 'jianhong', 'pditommaso', 'hseabolt', 'SusiJo', 'mjakobs', 'marcodelapierre', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'vsoch', 'cjjossart', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'mashehu', 'jfy133', 'candiceh08', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'mciprianoCDC', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'fbdtemme', 'mjcipriano', 'sateeshperi', 'MillironX', 'muffato', 'Gwennid', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'nickhsmith', 'MGordon09', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'pericsson', 'phue', 'lwratten', 'lescai', 'annacprice', 'leebrian', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",11,"['test_nfcore_workflow_chain', 'illumina-nf', 'humgen', 'demo-shpc-nf', 'mycosnp-nf', 'modules', 'nanoseq', 'picard', 'mnaseseq', 'hugeheat', 'popfreqs']"
321,321,12,['MultiQC'],11,"['nf-core', 'CGUTA', 'jianhong', 'vpeddu', 'CDCgov', 'hawaiidatascience', 'sguizard', 'nibscbioinformatics', 'sebastianlzy', 'COG-UK', 'jordwil']",127,"['Mxrcon', 'nf-core-bot', 'Alexey-ebi', 'kevbrick', 'Midnighter', 'yuukiiwa', 'malinlarsson', 'njspix', 'BrunoGrandePhD', 'sofstam', 'nebfield', 'chelauk', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'alneberg', 'apeltzer', 'kmurat1', 'lskatz', 'Erkison', 'vpeddu', 'tamara-hodgetts', 'charles-plessy', 'Darcy220606', 'jordwil', 'rannick', 'Puumanamana', 'oschwengers', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'alexandregilardet', 'adrlar', 'SPPearce', 'tamuanand', 'jinmingda', 'CGUTA', 'jianhong', 'pditommaso', 'olgabot', 'hseabolt', 'SusiJo', 'mjakobs', 'davidmasp', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'cjjossart', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'pcantalupo', 'mashehu', 'jfy133', 'candiceh08', 'peterwharrison', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'mciprianoCDC', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'mjcipriano', 'fbdtemme', 'sateeshperi', 'MillironX', 'muffato', 'Gwennid', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'rmcolq', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'skrakau', 'nickhsmith', 'MGordon09', 'emnilsson', 'heuermh', 'lconde-ucl', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'szilvajuhos', 'pericsson', 'phue', 'lescai', 'annacprice', 'leebrian', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'jfnavarro', 'FelixKrueger', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",11,"['sarek', 'isoseq', 'ev-meta', 'metaflowmics', 'mycosnp-nf', 'modules', 'datapipe', 'hugeheat', 'shotgun', 'nextflow-bowtie2', 'nextflow-demo']"
322,322,7,['blima'],5,"['nf-core', 'CDCgov', 'lauramble', 'ChadFibke', 'jordwil']",114,"['Mxrcon', 'lauramble', 'kevbrick', 'Midnighter', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'apeltzer', 'kmurat1', 'lskatz', 'Erkison', 'tamara-hodgetts', 'charles-plessy', 'Darcy220606', 'evanfloden', 'jordwil', 'rannick', 'oschwengers', 'ChadFibke', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'alexandregilardet', 'tamuanand', 'SPPearce', 'jinmingda', 'jianhong', 'pditommaso', 'hseabolt', 'SusiJo', 'mjakobs', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'cjjossart', 'subwaystation', 'sguizard', 'kenyonalexander-alloy', 'louperelo', 'c-mertes', 'mashehu', 'jfy133', 'candiceh08', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'mciprianoCDC', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'fbdtemme', 'mjcipriano', 'sateeshperi', 'MillironX', 'muffato', 'Gwennid', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'nickhsmith', 'MGordon09', 'emnilsson', 'heuermh', 'kenyon-alexander', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'pericsson', 'phue', 'lescai', 'annacprice', 'leebrian', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",5,"['modules', 'mycosnp-nf', 'germ', 'rnaseq-vizfada', 'nextflow-bowtie2']"
323,323,2,"['Graphmap2', 'ALIGN']",2,"['nf-core', 'CDCgov']",108,"['Mxrcon', 'kevbrick', 'Midnighter', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'apeltzer', 'kmurat1', 'lskatz', 'Erkison', 'tamara-hodgetts', 'charles-plessy', 'Darcy220606', 'rannick', 'oschwengers', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'alexandregilardet', 'tamuanand', 'SPPearce', 'jinmingda', 'jianhong', 'pditommaso', 'hseabolt', 'SusiJo', 'mjakobs', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'cjjossart', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'mashehu', 'jfy133', 'candiceh08', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'mciprianoCDC', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'mjcipriano', 'fbdtemme', 'sateeshperi', 'MillironX', 'muffato', 'Gwennid', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'nickhsmith', 'MGordon09', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'pericsson', 'phue', 'lescai', 'annacprice', 'leebrian', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",2,"['modules', 'mycosnp-nf']"
324,324,29,['VCFtools'],15,"['nf-core', 'clemgoub', 'joshua-d-campbell', 'jianhong', 'nf-modules', 'CDCgov', 'hawaiidatascience', 'josephhalstead', 'seqeralabs', 'sguizard', 'nibscbioinformatics', 'sebastianlzy', 'marcodelapierre', 'marchoeppner', 'COG-UK']",130,"['Mxrcon', 'nf-core-bot', 'kevbrick', 'Midnighter', 'yuukiiwa', 'malinlarsson', 'njspix', 'BrunoGrandePhD', 'sofstam', 'nebfield', 'chelauk', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'alneberg', 'apeltzer', 'kmurat1', 'lskatz', 'Erkison', 'tamara-hodgetts', 'charles-plessy', 'Darcy220606', 'evanfloden', 'rannick', 'Puumanamana', 'bleazard', 'oschwengers', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'alexandregilardet', 'adrlar', 'SPPearce', 'tamuanand', 'marchoeppner', 'jinmingda', 'clemgoub', 'jianhong', 'pditommaso', 'olgabot', 'hseabolt', 'SusiJo', 'mjakobs', 'davidmasp', 'marcodelapierre', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'cjjossart', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'pcantalupo', 'mashehu', 'jfy133', 'candiceh08', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'mciprianoCDC', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'l-modolo', 'mjcipriano', 'fbdtemme', 'sateeshperi', 'MillironX', 'muffato', 'Gwennid', 'josephhalstead', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'rmcolq', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'skrakau', 'nickhsmith', 'MGordon09', 'emnilsson', 'heuermh', 'lconde-ucl', 'mahesh-panchal', 'joshua-d-campbell', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'szilvajuhos', 'pericsson', 'phue', 'lescai', 'annacprice', 'leebrian', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'jfnavarro', 'FelixKrueger', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",20,"['modules', 'mycosnp-nf', 'nf-core-bagobugs', 'universalModule', 'dnaPipeTE2', 'nextflow-demo', 'illumina-nf', 'humgen', 'datapipe', 'gatk4-germline-snps-indels', 'nf-core-buggybarcodes', 'sarek', 'metaflowmics', 'kinseq', 'nf-core-tamanmd', 'nf-GATK_Exome_Preprocess', 'raredisease', 'samtools', 'shotgun', 'nextflow_small_germline_panel']"
326,326,23,['BEDTools'],5,"['nf-core', 'mahesh-panchal', 'cguyomar', 'jianhong', 'CDCgov']",118,"['Mxrcon', 'cguyomar', 'nf-core-bot', 'saramonzon', 'ktrns', 'Midnighter', 'kevbrick', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'apeltzer', 'kmurat1', 'stevin-wilson', 'lskatz', 'Erkison', 'tamara-hodgetts', 'charles-plessy', 'Darcy220606', 'rannick', 'oschwengers', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'jcurado-flomics', 'alexandregilardet', 'tamuanand', 'SPPearce', 'jinmingda', 'jianhong', 'pditommaso', 'hseabolt', 'SusiJo', 'mjakobs', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'cjjossart', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'mashehu', 'jfy133', 'candiceh08', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'yuxuth', 'mciprianoCDC', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'fbdtemme', 'mjcipriano', 'sateeshperi', 'MillironX', 'muffato', 'Gwennid', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'MiguelJulia', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'nickhsmith', 'MGordon09', 'svarona', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'ErikaKvalem', 'pericsson', 'phue', 'lescai', 'annacprice', 'leebrian', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",7,"['nf-core-hicar', 'test_nfcore_workflow_chain', 'viralrecon', 'ssds', 'mycosnp-nf', 'modules', 'nf-ase']"
327,327,10,['FLASH'],3,"['nf-core', 'mahesh-panchal', 'CDCgov']",116,"['Mxrcon', 'nf-core-bot', 'saramonzon', 'ktrns', 'Midnighter', 'kevbrick', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'apeltzer', 'kmurat1', 'stevin-wilson', 'lskatz', 'Erkison', 'tamara-hodgetts', 'charles-plessy', 'Darcy220606', 'rannick', 'oschwengers', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'jcurado-flomics', 'alexandregilardet', 'tamuanand', 'SPPearce', 'jinmingda', 'jianhong', 'pditommaso', 'hseabolt', 'SusiJo', 'mjakobs', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'cjjossart', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'mashehu', 'jfy133', 'candiceh08', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'mciprianoCDC', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'fbdtemme', 'mjcipriano', 'sateeshperi', 'MillironX', 'muffato', 'Gwennid', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'MiguelJulia', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'nickhsmith', 'MGordon09', 'svarona', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'ErikaKvalem', 'pericsson', 'phue', 'lescai', 'annacprice', 'leebrian', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",4,"['modules', 'test_nfcore_workflow_chain', 'mycosnp-nf', 'viralrecon']"
328,328,26,"['BCFtools', 'mpileup', 'BCFtools', 'BCFtools', 'BCFtools', 'BCFtools']",9,"['nf-core', 'mahesh-panchal', 'jianhong', 'nf-modules', 'harleenduggal', 'CDCgov', 'sanger-tol', 'sarseq', 'cidgoh']",164,"['rsuchecki', 'Mxrcon', 'nf-core-bot', 'sven1103', 'saramonzon', 'Galithil', 'kviljoen', 'ktrns', 'aanil', 'Midnighter', 'kevbrick', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'na399', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'robsyme', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'csawye01', 'santiagorevale', 'alneberg', 'apeltzer', 'kmurat1', 'stevin-wilson', 'lskatz', 'Erkison', 'tamara-hodgetts', 'duanjunhyq', 'charles-plessy', 'Darcy220606', 'jordwil', 'rannick', 'colindaven', 'orionzhou', 'oschwengers', 'cying111', 'Jeremy1805', 'amayer21', 'AntoniaSchuster', 'avantonder', 'klkeys', 'drejom', 'silviamorins', 'vezzi', 'suzannejin', 'fmalmeida', 'sysbiocoder', 'riederd', 'ewels', 'grst', 'fullama', 'jcurado-flomics', 'alexandregilardet', 'george-hall-ucl', 'marchoeppner', 'SPPearce', 'jburos', 'tamuanand', 'jinmingda', 'jianhong', 'pditommaso', 'drpowell', 'olgabot', 'hseabolt', 'SusiJo', 'mjakobs', 'm3hdad', 'lassefolkersen', 'chris-cheshire', 'rfenouil', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'cjjossart', 'mvanins', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'pcantalupo', 'mashehu', 'jfy133', 'lpantano', 'candiceh08', 'senthil10', 'spficklin', 'Emiller88', 'anwarMZ', 'rpetit3', 'JoseEspinosa', 'yuxuth', 'BABS-STP1', 'mciprianoCDC', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'mjcipriano', 'fbdtemme', 'sateeshperi', 'MillironX', 'priyanka-surana', 'pranathivemuri', 'muffato', 'veeravalli', 'Gwennid', 'paulklemm', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'matrulda', 'SpikyClip', 'MiguelJulia', 'Hammarn', 'sofiahaglund', 'sidorov-si', 'adomingues', 'kojix2', 'jun-wan', 'GCJMackenzie', 'zxl124', 'skrakau', 'nickhsmith', 'MGordon09', 'svarona', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'ErikaKvalem', 'abhi18av', 'ppericard', 'maxibor', 'pericsson', 'phue', 'lescai', 'annacprice', 'lwratten', 'leebrian', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'chuan-wang', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'sarseq', 'erikrikarddaniel']",14,"['RNASEQ', 'nf-core-hicar', 'readmapping', 'test_nfcore_workflow_chain', 'cidgoh_qc', 'viralrecon', 'sarseq2', 'gatk', 'mycosnp-nf', 'rnavar', 'modules', 'nanoseq', 'shotgun', 'rnaseq']"
329,329,2,['FastTree'],2,"['nf-core', 'CDCgov']",108,"['Mxrcon', 'kevbrick', 'Midnighter', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'apeltzer', 'kmurat1', 'lskatz', 'Erkison', 'tamara-hodgetts', 'charles-plessy', 'Darcy220606', 'rannick', 'oschwengers', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'alexandregilardet', 'tamuanand', 'SPPearce', 'jinmingda', 'jianhong', 'pditommaso', 'hseabolt', 'SusiJo', 'mjakobs', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'cjjossart', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'mashehu', 'jfy133', 'candiceh08', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'mciprianoCDC', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'mjcipriano', 'fbdtemme', 'sateeshperi', 'MillironX', 'muffato', 'Gwennid', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'nickhsmith', 'MGordon09', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'pericsson', 'phue', 'lescai', 'annacprice', 'leebrian', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",2,"['mycosnp-nf', 'modules']"
330,330,3,['GATK'],3,"['vincenthhu', 'nf-core', 'CDCgov']",109,"['Mxrcon', 'kevbrick', 'Midnighter', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'apeltzer', 'kmurat1', 'lskatz', 'Erkison', 'tamara-hodgetts', 'charles-plessy', 'Darcy220606', 'rannick', 'oschwengers', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'alexandregilardet', 'tamuanand', 'SPPearce', 'vincenthhu', 'jinmingda', 'jianhong', 'pditommaso', 'hseabolt', 'SusiJo', 'mjakobs', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'cjjossart', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'mashehu', 'jfy133', 'candiceh08', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'mciprianoCDC', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'mjcipriano', 'fbdtemme', 'sateeshperi', 'MillironX', 'muffato', 'Gwennid', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'nickhsmith', 'MGordon09', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'pericsson', 'phue', 'lescai', 'annacprice', 'leebrian', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",3,"['nf-core-westest', 'mycosnp-nf', 'modules']"
331,331,6,['SAMtools'],4,"['nf-core', 'mahesh-panchal', 'CDCgov', 'jianhong']",117,"['Mxrcon', 'nf-core-bot', 'saramonzon', 'ktrns', 'Midnighter', 'kevbrick', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'apeltzer', 'kmurat1', 'stevin-wilson', 'lskatz', 'Erkison', 'tamara-hodgetts', 'charles-plessy', 'Darcy220606', 'rannick', 'oschwengers', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'jcurado-flomics', 'alexandregilardet', 'tamuanand', 'SPPearce', 'jinmingda', 'jianhong', 'pditommaso', 'hseabolt', 'SusiJo', 'mjakobs', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'cjjossart', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'mashehu', 'jfy133', 'candiceh08', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'yuxuth', 'mciprianoCDC', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'fbdtemme', 'mjcipriano', 'sateeshperi', 'MillironX', 'muffato', 'Gwennid', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'MiguelJulia', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'nickhsmith', 'MGordon09', 'svarona', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'ErikaKvalem', 'pericsson', 'phue', 'lescai', 'annacprice', 'leebrian', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",6,"['nf-core-hicar', 'test_nfcore_workflow_chain', 'viralrecon', 'modules', 'mycosnp-nf', 'universalModule']"
332,332,2,['ABRicate'],2,"['nf-core', 'CDCgov']",108,"['Mxrcon', 'kevbrick', 'Midnighter', 'yuukiiwa', 'njspix', 'sofstam', 'nebfield', 'jemten', 'FriederikeHanssen', 'KevinMenden', 'yocra3', 'stevekm', 'i-pletenev', 'andersgs', 'thanhleviet', 'santiagorevale', 'apeltzer', 'kmurat1', 'lskatz', 'Erkison', 'tamara-hodgetts', 'charles-plessy', 'Darcy220606', 'rannick', 'oschwengers', 'Jeremy1805', 'AntoniaSchuster', 'avantonder', 'klkeys', 'fmalmeida', 'suzannejin', 'riederd', 'sysbiocoder', 'ewels', 'grst', 'fullama', 'alexandregilardet', 'tamuanand', 'SPPearce', 'jinmingda', 'jianhong', 'pditommaso', 'hseabolt', 'SusiJo', 'mjakobs', 'lassefolkersen', 'chris-cheshire', 'FloWuenne', 'maxulysse', 'Mark-S-Hill', 'ajodeh-juma', 'kaurravneet4123', 'sruthipsuresh', 'ljmesi', 'cjjossart', 'subwaystation', 'sguizard', 'louperelo', 'c-mertes', 'mashehu', 'jfy133', 'candiceh08', 'spficklin', 'Emiller88', 'rpetit3', 'JoseEspinosa', 'mciprianoCDC', 'antunderwood', 'd4straub', 'Danilo2771', 'projectoriented', 'bunop', 'mjcipriano', 'fbdtemme', 'sateeshperi', 'MillironX', 'muffato', 'Gwennid', 'piotr-faba-ardigen', 'ramprasadn', 'ntoda03', 'sidorov-si', 'kojix2', 'GCJMackenzie', 'nickhsmith', 'MGordon09', 'emnilsson', 'heuermh', 'mahesh-panchal', 'aleksandrabliznina', 'abhi18av', 'maxibor', 'pericsson', 'phue', 'lescai', 'annacprice', 'leebrian', 'RHReynolds', 'praveenraj2018', 'bjohnnyd', 'FelixKrueger', 'jfnavarro', 'BatoolMM', 'ggabernet', 'sima-r', 'arontommi', 'drpatelh', 'erikrikarddaniel']",2,"['modules', 'mycosnp-nf']"
