,list_contrib,list_own,list_wf,nb_contrib,nb_own,nb_reuse,nb_wf,tools
16,{'fcarelli'},{'fcarelli'},{'fcarelli/glre/14'},1.0,1.0,2.0,1.0,"['G-BLASTN', 'meme_fimo', 'SAMtools']"
17,"{'arushiv', 'angelat1020', 'mikheyev', 'troyrowan', 'awreynolds', 'KBoehme', 'ilevkivskyi', 'shiandy', 'igrishaev', 'miramastoras', 'harlydurbin', 'frederic-michaud', 'anaghadesh', 'CarolinaPB', 'mathbionerd', 'sapfo', 'reedacartwright'}","{'arushiv', 'troyrowan', 'KBoehme', 'shiandy', 'twillis209', 'hennlab', 'harlydurbin', 'WilsonSayresLab', 'MaevaTecher', 'CarolinaPB', 'sapfo'}","{'harlydurbin/bovine_demo/13', 'troyrowan/imputation-pipeline/9', 'harlydurbin/bovine_demo/10', 'hennlab/snake-SNP_QC/1', 'harlydurbin/bovine_demo/8', 'shiandy/ukbb-qc/1', 'CarolinaPB/population-structural-var-calling-smoove/1', 'arushiv/regulatoryAnnotations_comparisons/16', 'arushiv/regulatoryAnnotations_comparisons/8', 'shiandy/epi507-project/1', 'arushiv/gwas_NHGRI/1', 'hennlab/snake-IBDne/2', 'arushiv/regulatoryAnnotations_comparisons/10', 'hennlab/snake-IBDne/1', 'arushiv/islet_cage/7', 'troyrowan/imputation-pipeline/5', 'KBoehme/ADGC_HRC_merge/4', 'sapfo/medeas/1', 'arushiv/regulatoryAnnotations_comparisons/6', 'MaevaTecher/varroa-host-jump/1', 'troyrowan/imputation-pipeline/1', 'arushiv/regulatoryAnnotations_comparisons/15', 'twillis209/ldak_weights_pipeline/1', 'WilsonSayresLab/PopInf/1', 'CarolinaPB/gbs-genetic-fitness/1', 'hennlab/AS-IBDNe/1'}",17.0,11.0,78.0,26.0,['PLINK']
18,"{'rbonneville', 'vinay-swamy', 'anilthanki', 'martynakgajos', 'sagrudd'}","{'rmtsoa', 'TGAC', 'OSU-SRLab', 'vinay-swamy', 'martynakgajos'}","{'OSU-SRLab/SCLC-autopsy-genomics/1', 'vinay-swamy/ocular_transcriptomes_pipeline/1', 'martynakgajos/nanopore-transcriptome-analysis/1', 'TGAC/lncRNA-analysis/1', 'rmtsoa/ont_tutorial_pinfish/1'}",5.0,5.0,6.0,5.0,['gffcompare']
19,"{'murraypatterson', 'conchoecia', 'schrins', 'wrf'}","{'AlBi-HHU', 'AlgoLab', 'conchoecia'}","{'AlBi-HHU/genetic-polyploid-phasing-suppl-material/2', 'AlBi-HHU/genetic-polyploid-phasing-suppl-material/3', 'AlgoLab/HapQual/1', 'conchoecia/hormiphora/1'}",4.0,3.0,7.0,4.0,['WhatsHap']
20,"{'geparada', 'qfort', 'Tina04021997', 'Marie-LB', 'michalogit', 'thomas-keller', 'jimmybgammyknee', 'MaleloAS', 'MarineP-IODAA', 'sebpott', 'yuxuth', 'aisakova', 'yss1', 'emorice', 'evodify', 'ccwang002', 'jdblischak', 'franskloet', 'bettybliu', 'anoyaro84', 'tijsbliek', 'andreashoek', 'CancerGenetics007', 'tyh-19', 'JihedC', 'StephenRicher', 'alseguel', 'SimranChhabria', 'kkchau', 'cjsifuen', 'KXami2b2021', 'barbarabarbosa', 'MaryESavino', 'DCGenomics', 'PaulineTurk', 'HanqingZhao97', 'khavernathy', 'a-lud', 'pawel125', 'cvoinot', 'anthony-moreau', 'ashwin-s-ranade', 'agata-sm', 'kuruis', 'mdjaffardjy', 'mgalland', 'kauralasoo', 'KL-Bloomer', 'williamjeong2', 'dfloresDIL', 'gonzalobenegas', 'relorbany', 'ChaimaeEH'}","{'davidlevybooth', 'geparada', 'qfort', 'Tina04021997', 'michalogit', 'NCBI-Hackathons', 'MaleloAS', 'sebpott', 'tgac-vumc', 'yuxuth', 'emorice', 'mgildea87', 'jdblischak', 'bettybliu', 'andreashoek', 'tyh-19', 'gp7-sanger', 'StephenRicher', 'UofABioinformaticsHub', 'SimranChhabria', 'kkchau', 'cjsifuen', 'KoesGroup', 'eanbit-rt', 'pawel125', 'anthony-moreau', 'ashwin-s-ranade', 'agata-sm', 'songlab-cal', 'mdjaffardjy', 'mgalland', 'kauralasoo', 'KL-Bloomer', 'ding-lab', 'LUDC-bioinformatics', 'williamjeong2', 'dfloresDIL', 'BleekerLab', 'relorbany', 'aisakova'}","{'sebpott/dropseq_pipeline/2', 'NCBI-Hackathons/MassiveSeq/2', 'anthony-moreau/hackaton-ACKP/1', 'agata-sm/piRNA-seq_pipeline/1', 'bettybliu/snakeATAC-singularity/1', 'sebpott/dropseq_pipeline/1', 'qfort/Projet_reprohackaton/1', 'michalogit/snake_hisat/1', 'eanbit-rt/ReproducibleResearch/3', 'MaleloAS/Alice_MS/1', 'dfloresDIL/MEGA/3', 'BleekerLab/snakemake_rnaseq/1', 'pawel125/RNAseq_hpc_workflow/1', 'mgalland/neurofjacobs/2', 'kkchau/RNAseq_Pipeline/2', 'yuxuth/snake_mRNA_v2/1', 'SimranChhabria/miRNA-FeatureCounts/1', 'dfloresDIL/MEGA/4', 'ashwin-s-ranade/creating-count-matrix/1', 'emorice/RNASeq_example/1', 'jdblischak/cardioqtl/1', 'davidlevybooth/Rhodococcus_Transcriptomics/1', 'dfloresDIL/MEGA/1', 'ding-lab/HTAN_bulkRNA_expression/1', 'ding-lab/cptac_rna_expression/1', 'eanbit-rt/ReproducibleResearch/11', 'LUDC-bioinformatics/SMC_MYOCD/1', 'KL-Bloomer/mres-malaria-gene-expression/1', 'williamjeong2/snakemake_RNA-seq/1', 'tyh-19/cfRNAseq/1', 'dfloresDIL/MEGA/2', 'mdjaffardjy/reprohackaton_2021/3', 'Tina04021997/How-to-RNAseq/1', 'kauralasoo/macrophage-tuQTLs/3', 'UofABioinformaticsHub/RNAseq_snakemake/1', 'gp7-sanger/RNA_seq_course2020/1', 'williamjeong2/snakemake_RNA-seq/2', 'eanbit-rt/ReproducibleResearch/2', 'KoesGroup/Snakemake_hisat-DESeq/1', 'geparada/RNA_seq_course2020/1', 'aisakova/smart-seq-total/2', 'sebpott/dropseq_pipeline/3', 'mdjaffardjy/reprohackaton_2021/1', 'andreashoek/wasp/1', 'cjsifuen/Basic-Bulk-RNA-seq-Workflow/1', 'songlab-cal/scquint/4', 'eanbit-rt/ReproducibleResearch/1', 'relorbany/Exp1_prelim_analysis/1', 'aisakova/smart-seq-total/1', 'StephenRicher/RNA-Flow/1', 'mgildea87/RNAseq_PE/1', 'NCBI-Hackathons/MassiveSeq/1', 'tgac-vumc/RNA-seq/1', 'mdjaffardjy/reprohackaton_2021/2', 'michalogit/snake_hisat/2'}",53.0,40.0,63.0,55.0,['FeatureCounts']
21,"{'anaghadesh', 'angelat1020', 'mathbionerd'}",{'WilsonSayresLab'},{'WilsonSayresLab/PopInf/1'},3.0,1.0,1.0,1.0,"['GATK', 'VCFtools']"
22,"{'annazhukova', 'amholtz', 'fredericlemoine'}","{'amholtz', 'evolbioinfo'}","{'evolbioinfo/phylocovid/3', 'evolbioinfo/HIV1-CRF19_Cuba/4', 'evolbioinfo/zika_Vietnam/3', 'amholtz/snakemake_rabies/3', 'amholtz/snakemake_rabies/2', 'evolbioinfo/phylocovid/5'}",3.0,2.0,6.0,6.0,['RAxML-NG']
23,"{'wuv21', 'franciscozorrilla', 'rob-p', 'yiwen99', 'jimmybgammyknee', 'yss1', 'bsennblad', 'mistyskye', 'sztankatt', 'fburic', 'Terkild', 'timodonnell', 'sanjapriselac', 'fcarelli', 'sidiropoulos', 'laserson', 'tijsbliek', 'Exenter', 'mfansler', 'StephenRicher', 'ChDied', 'akirosingh', 'osvaldoreisss', 'tjbencomo', 'daler', 'johnne', 'a-lud', 'fataltes', 'pimentel', 'mgalland', 'matthiasparusel', 'brielin', 'hiraksarkar', 'gonzalobenegas'}","{'franciscozorrilla', 'yiwen99', 'lasersonlab', 'pachterlab', 'sztankatt', 'Terkild', 'sidiropoulos', 'sanjapriselac', 'fcarelli', 'Exenter', 'Mayrlab', 'COMBINE-lab', 'StephenRicher', 'UofABioinformaticsHub', 'akirosingh', 'osvaldoreisss', 'tjbencomo', 'daler', 'NBISweden', 'songlab-cal', 'pimentel', 'matthiasparusel', 'mgalland', 'betts-lab', 'BleekerLab'}","{'franciscozorrilla/metaGEM/2', 'songlab-cal/scquint/6', 'akirosingh/BC1bulk-rnaseq/1', 'daler/chromhmm-enhancers-umel/2', 'COMBINE-lab/pufferfish_experiments/1', 'pimentel/bears_iplant/1', 'pachterlab/PCCA/1', 'Terkild/CITE-seq_optimization/1', 'COMBINE-lab/pufferfish_experiments/2', 'fcarelli/glre/7', 'sanjapriselac/InterdisciplinaryProject/1', 'mgalland/neurofjacobs/1', 'fcarelli/glre/11', 'NBISweden/LTS-A_Andersson_2010-MASCSEQ/1', 'Terkild/CITE-seq_optimization/3', 'lasersonlab/phip-stat/2', 'franciscozorrilla/metaGEM/1', 'lasersonlab/phip-stat/5', 'fcarelli/glre/8', 'BleekerLab/rnaseq-analysis-kallisto-sleuth/1', 'Mayrlab/scUTRquant/1', 'sidiropoulos/TCGAsnake/1', 'UofABioinformaticsHub/RNAseq_snakemake/1', 'Exenter/Comparing-two-RNAseq-analysis-tools-STAR-vs-Kallisto/1', 'fcarelli/glre/12', 'sidiropoulos/TCGAsnake/2', 'betts-lab/scc-proc/1', 'matthiasparusel/fpbiows18/1', 'Mayrlab/txcutr-db/1', 'Terkild/CITE-seq_optimization/2', 'COMBINE-lab/pufferfish_experiments/3', 'StephenRicher/RNA-Flow/1', 'tjbencomo/bulk-rnaseq/1', 'sztankatt/brandeis-secondment/2', 'yiwen99/kallisto-quant-on-small-sample/1', 'osvaldoreisss/public_trapseq/1'}",34.0,25.0,54.0,36.0,['kallisto']
24,"{'markrobinsonuzh', 'carissableker', 'sorjuela', 'khembach', 'csoneson', 'fionarhuang'}",{'csoneson'},{'csoneson/ARMOR/1'},6.0,1.0,1.0,1.0,"['Salmon', 'FastQC', 'STAR', 'SAMtools', 'MultiQC', 'BEDTools']"
25,{'mestill7'},"{'shenlab-sinai', 'mestill7'}","{'mestill7/Isoseq_processing/1', 'shenlab-sinai/Isoseq_processing/1'}",1.0,2.0,2.0,2.0,['GMAP']
26,"{'chrstraub', 'fennerm', 'penglbio', 'peter-yufan-zeng', 'MeHelmy', 'benpkeith', 'sfrenk', 'evodify', 'arunbodd'}","{'chrstraub', 'fennerm', 'penglbio', 'peter-yufan-zeng', 'MeHelmy', 'benpkeith', 'LUDC-bioinformatics', 'sfrenk', 'arunbodd', 'bioxfu'}","{'bioxfu/RNA-Seq/2', 'bioxfu/ChIP-Seq/2', 'penglbio/RNA_Seq/2', 'sfrenk/variant_calling_pipeline/1', 'penglbio/RNA_Seq/1', 'chrstraub/SNP_calling_workflow/1', 'fennerm/megadaph/1', 'benpkeith/Furey-Lab-RNA-seq/1', 'bioxfu/ChIP-Seq/1', 'benpkeith/Furey-Lab-RNA-seq/2', 'LUDC-bioinformatics/SMC_MYOCD/1', 'bioxfu/RNA-Seq/3', 'bioxfu/RNA-Seq/1', 'MeHelmy/covid-pipeline/1', 'peter-yufan-zeng/AN_WGS_script/1', 'penglbio/RNA_Seq/3', 'arunbodd/MultiQC_WES/1'}",9.0,10.0,17.0,17.0,['QualiMap']
27,set(),{'mscharmann'},"{'mscharmann/sexdelim/2', 'mscharmann/sexdelim/1'}",0.0,1.0,15.0,2.0,"['seqtk', 'BEDTools']"
28,{'petercombs'},{'petercombs'},{'petercombs/dicty/1'},1.0,1.0,1.0,1.0,"['Bpipe', 'Jellyfish']"
29,{'heylf'},{'BackofenLab'},{'BackofenLab/SalamiSnake/3'},1.0,1.0,1.0,1.0,['MEME']
30,"{'winfrednyoroka', 'JaneNjeri', 'enezermjema', 'paudano', 'Tendo1434'}","{'enezermjema', 'EichlerLab'}","{'EichlerLab/sniffles/1', 'enezermjema/Mini-project-group-06/1'}",5.0,2.0,2.0,2.0,['Sniffles']
31,"{'johnlees', 'boasvdp', 'niekh-13'}","{'johnlees', 'niekh-13'}","{'johnlees/PopPIPE/1', 'niekh-13/phylogenetic_workflows/2'}",3.0,2.0,9.0,2.0,['SKAT']
32,"{'jbloom', 'alexzaccaron', 'rostkick'}","{'jbloom', 'alexzaccaron', 'rostkick'}","{'rostkick/frameshift/2', 'rostkick/frameshift/1', 'alexzaccaron/2021_enec_mt/6', 'alexzaccaron/2021_pms_mt/1', 'jbloom/SARS-CoV-2_Shen_et_al/1', 'alexzaccaron/2021_enec_mt/5', 'alexzaccaron/2021_pms_mt/4', 'jbloom/SARS-CoV-2_PRJNA612766/1'}",3.0,3.0,8.0,8.0,['eFetch Snp']
33,"{'mfansler', 'wuv21'}","{'Mayrlab', 'betts-lab'}","{'Mayrlab/scUTRquant/1', 'betts-lab/scc-proc/1'}",2.0,2.0,9.0,2.0,['BUStools']
34,"{'fcarelli', 'ZacharieMenetrier'}","{'fcarelli', 'ZacharieMenetrier'}","{'fcarelli/glre/8', 'fcarelli/glre/16', 'fcarelli/glre/5', 'fcarelli/glre/7', 'fcarelli/glre/13', 'fcarelli/glre/6', 'ZacharieMenetrier/Koffie/1', 'fcarelli/glre/14', 'fcarelli/glre/17'}",2.0,2.0,20.0,9.0,['fastafrombed']
35,"{'elliekpursey', 'schmelling', 'Kanomble', 'fcarelli', 'wrf', 'GitStudentKanomble', 'vinay-swamy', 'conchoecia', 'rostkick'}","{'elliekpursey', 'fcarelli', 'vinay-swamy', 'conchoecia', 'CyanoWorld', 'rostkick'}","{'rostkick/frameshift/2', 'rostkick/frameshift/1', 'fcarelli/glre/7', 'vinay-swamy/ocular_transcriptomes_pipeline/1', 'CyanoWorld/reciprocal_blast_pipeline/2', 'conchoecia/hormiphora/2', 'elliekpursey/crispr-pathogens/2'}",9.0,6.0,10.0,7.0,['BLASTP-ACC']
36,"{'gavinband', 'dgmaghini', 'callumparr', 'mikelove', 'sagrudd', 'cjw85', 'SamStudio8', 'shaunchuah', 'bricoletc', 'elimoss', 'JaneNjeri', 'schrins', 'kpalin', 'baraaorabi', 'bsiranosian', 'jmeppley', 'betty-wu-1', 'redekarnr', 'maureensmith', 'jzhang1994', 'mrvollger', 'cchauve', 'martynakgajos', 'natir', 'boasvdp', 'Tendo1434', 'dfloresDIL', 'HosseinAsghari', 'winfrednyoroka', 'niekh-13', 'enezermjema', 'GeorgiaBreckell', 'bsipos', 'dadahan', 'vrmarcelino', 'pkerpedjiev', 'jbloom', 'jmonlong', 'CarolinaPB', 'trofimovamw'}","{'callumparr', 'vpc-ccg', 'nanoporetech', 'pgpmartin', 'NCBR-FNLCR', 'SamStudio8', 'shaunchuah', 'elimoss', 'kpalin', 'imilenkovic', 'jmeppley', 'betty-wu-1', 'AlBi-HHU', 'mrvollger', 'jmonlong', 'martynakgajos', 'natir', 'niekh-13', 'rmtsoa', 'enezermjema', 'longread-well', 'GeorgiaBreckell', 'iqbal-lab-org', 'vrmarcelino', 'bhattlab', 'jbloom', 'dfloresDIL', 'CarolinaPB', 'trofimovamw'}","{'jmonlong/pangenome-evaluation/1', 'jbloom/SARS-CoV-2_Shen_et_al/1', 'CarolinaPB/nanopore-assembly/1', 'SamStudio8/reticulatus/1', 'iqbal-lab-org/paper_gramtools_nesting/6', 'nanoporetech/pipeline-transcriptome-de/1', 'imilenkovic/cDNA_DESeq2/1', 'dfloresDIL/MEGA/3', 'bhattlab/lathe/1', 'iqbal-lab-org/paper_gramtools_nesting/8', 'callumparr/ont_tutorial_cdna_deseq2/1', 'betty-wu-1/RATTLE-pipeline/1', 'elimoss/lathe/1', 'GeorgiaBreckell/assembly_pipeline/1', 'vpc-ccg/freddie/1', 'natir/yacrd-and-fpa-upstream-tools-for-lr-genome-assembly/6', 'NCBR-FNLCR/Long-read-genome-assembly/1', 'dfloresDIL/MEGA/1', 'martynakgajos/nanopore-transcriptome-analysis/1', 'rmtsoa/ont_tutorial_pinfish/1', 'SamStudio8/reticulatus/2', 'mrvollger/StainedGlass/1', 'kpalin/VirusIntegrationFinder/1', 'dfloresDIL/MEGA/2', 'longread-well/bakeoff/9', 'jmonlong/sv-nicu/1', 'enezermjema/Mini-project-group-06/1', 'jmeppley/np_read_clustering/3', 'natir/project-diploid-assembly-UAB-graph-analysis/1', 'natir/yacrd-and-fpa-upstream-tools-for-lr-genome-assembly/5', 'shaunchuah/cfdna_workflow/1', 'vrmarcelino/MetaModels/2', 'jbloom/SARS-CoV-2_PRJNA612766/1', 'vrmarcelino/MetaModels/10', 'natir/yacrd-and-fpa-upstream-tools-for-lr-genome-assembly/1', 'pgpmartin/NanoBAC_pipeline/1', 'natir/yacrd-and-fpa-upstream-tools-for-lr-genome-assembly/2', 'jmeppley/np_read_clustering/4', 'natir/yacrd-and-fpa-upstream-tools-for-lr-genome-assembly/3', 'callumparr/ont_tutorial_transcriptome/1', 'CarolinaPB/gbs-genetic-fitness/1', 'AlBi-HHU/genetic-polyploid-phasing-suppl-material/1', 'trofimovamw/GInCovPipe/1', 'niekh-13/phylogenetic_workflows/3', 'nanoporetech/pipeline-pinfish-analysis/1'}",40.0,29.0,56.0,45.0,['Minimap2']
37,{'jmonlong'},{'jmonlong'},{'jmonlong/pangenome-evaluation/1'},1.0,1.0,1.0,1.0,"['VGA', 'GraphAligner']"
38,{'Faitero'},"{'Faitero', 'bioxfu'}","{'bioxfu/iCLIP/2', 'bioxfu/iCLIP/1', 'Faitero/iCount_snakemake/1', 'Faitero/iCount_snakemake/2'}",1.0,2.0,8.0,4.0,"['TRUmiCount', 'TRUmiCount']"
39,{'fcarelli'},{'fcarelli'},{'fcarelli/glre/17'},1.0,1.0,1.0,1.0,['RepeatModeler']
40,{'annazhukova'},{'evolbioinfo'},{'evolbioinfo/phylocovid/3'},1.0,1.0,1.0,1.0,['FastME']
41,"{'ctb', 'sevance', 'elimoss', 'jribado', 'shigdon', 'cosnicolaou', 'navajain', 'bsiranosian', 'bfremin', 'tamburinif'}","{'liluacrobat', 'ctb', 'shigdon', 'dib-lab', 'bhattlab'}","{'dib-lab/sourmash-oddify/1', 'bhattlab/bhattlab_workflows/25', 'liluacrobat/Shotgun_inStrain/22', 'shigdon/snakemake_lactococcus/1', 'ctb/2021-sourmash-greymake/1', 'shigdon/snakemake_mucilage-isolates/2', 'shigdon/snakemake_mucilage-isolates/1'}",10.0,5.0,20.0,7.0,['sourmash']
42,{'pablo-gar'},{'pablo-gar'},{'pablo-gar/somatic_mutations_GTEx/1'},1.0,1.0,1.0,1.0,"['Tablet', 'BEDTools', 'BEDTools', 'BEDTools']"
43,{'jakevc'},{'carbonelab'},{'carbonelab/hic_workflow/1'},1.0,1.0,1.0,1.0,['HiCUP']
44,set(),{'kmgibson'},{'kmgibson/FONTANA/2'},0.0,1.0,1.0,1.0,"['FreeBayes', 'VCFFilterJS']"
45,{'DSJM'},{'DSJM'},{'DSJM/ConbAC/1'},1.0,1.0,1.0,1.0,['SingleCellNet']
46,"{'sterrettJD', 'eclarke', 'JessAwBryant', 'awilson0'}","{'sterrettJD', 'eclarke', 'JessAwBryant', 'haneylab'}","{'eclarke/sisyphus/1', 'haneylab/assembly_pipeline/1', 'sterrettJD/Nicotine-Microbiome/1', 'JessAwBryant/qiime_with_snakemake/1'}",4.0,4.0,4.0,4.0,['PEAR']
47,"{'daler', 'arushiv'}","{'daler', 'arushiv'}","{'daler/chromhmm-enhancers-umel/2', 'arushiv/regulatoryAnnotations_comparisons/7'}",2.0,2.0,2.0,2.0,['LiftOver']
48,"{'alliblk', 'nandsra21', 'huddlej'}",{'blab'},"{'blab/cartography/3', 'blab/cartography/7', 'blab/cartography/5', 'blab/cartography/10', 'blab/cartography/4', 'blab/cartography/9'}",3.0,1.0,6.0,6.0,"['EmbedSOM', 'opt-SNE']"
49,"{'bhaddow', 'danlooo', 'Tu6ka', 'maxlcummins', 'jlanga'}","{'bioinformatics-leibniz-hki', 'jlanga', 'maxlcummins', 'bhaddow'}","{'jlanga/ttin_assembly/1', 'bioinformatics-leibniz-hki/DAnIEL/3', 'maxlcummins/pipelord/1', 'bhaddow/pmindia-crawler/1'}",5.0,4.0,4.0,4.0,['BiocParallel']
50,{'ecalfee'},{'ecalfee'},{'ecalfee/hilo/9'},1.0,1.0,2.0,1.0,['Ancestry_HMM-S']
51,{'pjedge'},{'pjedge'},{'pjedge/SISSOR/1'},1.0,1.0,2.0,1.0,['vcfR']
52,"{'heylf', 'fcarelli'}","{'BackofenLab', 'fcarelli'}","{'fcarelli/glre/5', 'BackofenLab/SalamiSnake/3', 'fcarelli/glre/6'}",2.0,2.0,7.0,3.0,['meme_fimo']
53,{'drdariarago'},{'drdariarago'},{'drdariarago/organoids-probio/1'},1.0,1.0,3.0,1.0,['NiceBot']
54,"{'Ducklegs17', 'nathanhaigh'}",{'Ducklegs17'},"{'Ducklegs17/pacbio_clr/1', 'Ducklegs17/pacbio_hifi/1'}",2.0,1.0,3.0,2.0,"['GTZ', 'GTZ']"
55,"{'jiyideanjiao', 'fcarelli'}","{'jiyideanjiao', 'fcarelli'}","{'jiyideanjiao/Alkaline_Adaptation/2', 'fcarelli/glre/10'}",2.0,2.0,2.0,2.0,['MUSCLE']
56,"{'liulab-dfci', 'baigal628', 'crazyhottommy'}",{'liulab-dfci'},{'liulab-dfci/CHIPS/24'},3.0,1.0,1.0,1.0,"['BetaVoid', 'BWA']"
57,{'pmenzel'},{'pmenzel'},{'pmenzel/ont-assembly-snake/1'},1.0,1.0,1.0,1.0,"['BWA', 'BWA', 'SAMtools', 'SAMtools', 'pilon']"
58,"{'alexzaccaron', 'MaleloAS', 'vodkatad', 'vinay-swamy', 'ksw9', 'jmonlong', 'skingan'}","{'alexzaccaron', 'MaleloAS', 'vodkatad', 'vinay-swamy', 'ksw9', 'jmonlong', 'skingan'}","{'vodkatad/WXS_SNV/7', 'skingan/gc_cov_2/1', 'jmonlong/sv-nicu/1', 'alexzaccaron/2021_enec_mt/3', 'vodkatad/snakegatk/7', 'alexzaccaron/2021_enec_mt/5', 'ksw9/mtb_pipeline/1', 'MaleloAS/Alice_MS/1', 'vinay-swamy/ocular_transcriptomes_pipeline/1', 'vodkatad/WXS_SNV/6', 'vodkatad/WXS_SNV/5', 'vodkatad/snakegatk/6'}",7.0,7.0,16.0,12.0,['mosdepth']
59,{'paudano'},{'EichlerLab'},{'EichlerLab/pav/6'},1.0,1.0,1.0,1.0,['ALRA']
60,"{'Kirovez', 'fennerm'}","{'Kirovez', 'fennerm'}","{'fennerm/daphnia-mtdna-ma/1', 'Kirovez/NanoCasTE/1'}",2.0,2.0,3.0,2.0,"['BamTools', 'SAMtools']"
