,nb_reuse,tools,nb_own,list_own,nb_contrib,list_contrib,nb_wf,list_wf
10,16,['GUPPY'],10,"['ABMicroBioinf', 'chelauk', 'erikrikarddaniel', 'xiaoli-dong', 'canceromics', 'sheenamt', 'jgolob', 'StaPH-B', 'xmuyulab', 'nf-core']",29,"['thanhleviet', 'lmyiing', 'alexandregilardet', 'chelauk', 'chris-cheshire', 'ggabernet', 'canceromics', 'likelet', 'LeuThrAsp', 'juneb4869', 'nf-core-bot', 'jordeu', 'antunderwood', 'ignaciot', 'sheenamt', 'avantonder', 'drpatelh', 'jgolob', 'dladd', 'erikrikarddaniel', 'apeltzer', 'ewels', 'cjfields', 'KevinMenden', 'huhehaotecrystal', 'charlotte-west', 'GhadaNOUAIRIA', 'sminot', 'xiaoli-dong']",12,"['MeRIPseqPipe', 'pathogen', 'scRNAseq_pipelines', 'mycosnp', 'cutandrun', 'pfitmap-nextflow', 'nascent', 'nf-core-blasr', 'magph', 'bactmap', 'hrd_pipeline', 'maliampi']"
11,10,['Salmon'],10,"['ABMicroBioinf', 'nf-modules', 'mahesh-panchal', 'harleenduggal', 'xiaoli-dong', 'raygozag', 'vincenthhu', 'jianhong', 'hawaiidatascience', 'nf-core']",64,"['alneberg', 'Galithil', 'senthil10', 'pranathivemuri', 'sofiahaglund', 'chris-cheshire', 'drpowell', 'na399', 'ggabernet', 'SpikyClip', 'amayer21', 'skrakau', 'adomingues', 'chuan-wang', 'pditommaso', 'rfenouil', 'drejom', 'lpantano', 'pcantalupo', 'grst', 'matrulda', 'rsuchecki', 'ppericard', 'nf-core-bot', 'mvanins', 'maxulysse', 'vezzi', 'jburos', 'vincenthhu', 'silviamorins', 'drpatelh', 'kviljoen', 'Puumanamana', 'robsyme', 'BABS-STP1', 'mashehu', 'sven1103', 'george-hall-ucl', 'apeltzer', 'ewels', 'mahesh-panchal', 'olgabot', 'paulklemm', 'KevinMenden', 'jun-wan', 'Hammarn', 'orionzhou', 'Emiller88', 'zxl124', 'colindaven', 'jemten', 'marchoeppner', 'arontommi', 'jordwil', 'FriederikeHanssen', 'd4straub', 'veeravalli', 'aanil', 'xiaoli-dong', 'c-mertes', 'raygozag', 'jianhong', 'JoseEspinosa', 'abhi18av']",8,"['nf-core-westest', 'universalModule', 'gatk', 'magph', 'RNASEQ', 'test_nfcore_workflow_chain', 'metaflowmics', 'rnaseq']"
12,11,['BEDTools'],5,"['ABMicroBioinf', 'sguizard', 'xiaoli-dong', 'ATpoint', 'xmuyulab']",5,"['huhehaotecrystal', 'lmyiing', 'sguizard', 'xiaoli-dong', 'ATpoint']",5,"['nf-feelnc', 'scRNAseq_pipelines', 'pathogen', 'atac_chip_preprocess', 'magph']"
13,6,['SAMtools'],6,"['ABMicroBioinf', 'nf-modules', 'mahesh-panchal', 'xiaoli-dong', 'jianhong', 'nf-core']",106,"['subwaystation', 'praveenraj2018', 'suzannejin', 'ramprasadn', 'projectoriented', 'ljmesi', 'fullama', 'GCJMackenzie', 'Midnighter', 'avantonder', 'yocra3', 'drpatelh', 'Emiller88', 'nickhsmith', 'Mark-S-Hill', 'nebfield', 'c-mertes', 'i-pletenev', 'JoseEspinosa', 'stevekm', 'MGordon09', 'Danilo2771', 'sruthipsuresh', 'njspix', 'mjakobs', 'lescai', 'tamara-hodgetts', 'antunderwood', 'maxulysse', 'Gwennid', 'santiagorevale', 'sofstam', 'SPPearce', 'FelixKrueger', 'apeltzer', 'MillironX', 'FloWuenne', 'spficklin', 'pericsson', 'arontommi', 'FriederikeHanssen', 'louperelo', 'charles-plessy', 'thanhleviet', 'lassefolkersen', 'chris-cheshire', 'alexandregilardet', 'candiceh08', 'ntoda03', 'grst', 'rannick', 'muffato', 'riederd', 'andersgs', 'heuermh', 'sima-r', 'BatoolMM', 'Darcy220606', 'jfnavarro', 'fbdtemme', 'mahesh-panchal', 'rpetit3', 'KevinMenden', 'annacprice', 'aleksandrabliznina', 'mjcipriano', 'jianhong', 'oschwengers', 'ajodeh-juma', 'ggabernet', 'sguizard', 'emnilsson', 'sysbiocoder', 'maxibor', 'pditommaso', 'piotr-faba-ardigen', 'bjohnnyd', 'lskatz', 'Jeremy1805', 'kmurat1', 'SusiJo', 'Erkison', 'bunop', 'Mxrcon', 'yuukiiwa', 'sateeshperi', 'tamuanand', 'AntoniaSchuster', 'kevbrick', 'mashehu', 'erikrikarddaniel', 'ewels', 'hseabolt', 'sidorov-si', 'RHReynolds', 'jinmingda', 'phue', 'jemten', 'kojix2', 'xiaoli-dong', 'd4straub', 'fmalmeida', 'kaurravneet4123', 'klkeys', 'jfy133', 'abhi18av']",5,"['universalModule', 'modules', 'gatk', 'magph', 'test_nfcore_workflow_chain']"
14,5,['Bowtie'],5,"['ABMicroBioinf', 'xiaoli-dong', 'cirrina', 'NCBI-Codeathons', 'nf-core']",111,"['subwaystation', 'praveenraj2018', 'suzannejin', 'ramprasadn', 'projectoriented', 'ljmesi', 'fullama', 'GCJMackenzie', 'YanFangBio', 'Midnighter', 'avantonder', 'yocra3', 'drpatelh', 'Emiller88', 'nickhsmith', 'Mark-S-Hill', 'nebfield', 'c-mertes', 'i-pletenev', 'JoseEspinosa', 'MGordon09', 'stevekm', 'Danilo2771', 'alexa-salsbury', 'sruthipsuresh', 'njspix', 'mjakobs', 'lescai', 'tamara-hodgetts', 'drice-codeathons', 'antunderwood', 'maxulysse', 'Gwennid', 'santiagorevale', 'sofstam', 'SPPearce', 'FelixKrueger', 'apeltzer', 'MillironX', 'FloWuenne', 'spficklin', 'pericsson', 'arontommi', 'FriederikeHanssen', 'cirrina', 'louperelo', 'charles-plessy', 'thanhleviet', 'lassefolkersen', 'chris-cheshire', 'alexandregilardet', 'candiceh08', 'ntoda03', 'grst', 'rannick', 'muffato', 'riederd', 'andersgs', 'heuermh', 'sima-r', 'BatoolMM', 'Darcy220606', 'jfnavarro', 'fbdtemme', 'mahesh-panchal', 'rpetit3', 'KevinMenden', 'annacprice', 'aleksandrabliznina', 'mjcipriano', 'jianhong', 'oschwengers', 'ajodeh-juma', 'ggabernet', 'sguizard', 'emnilsson', 'sysbiocoder', 'maxibor', 'pditommaso', 'piotr-faba-ardigen', 'bjohnnyd', 'lskatz', 'Jeremy1805', 'kmurat1', 'SusiJo', 'Erkison', 'bunop', 'Mxrcon', 'yuukiiwa', 'sateeshperi', 'tamuanand', 'ksaunders73', 'AntoniaSchuster', 'kevbrick', 'mashehu', 'erikrikarddaniel', 'ewels', 'hseabolt', 'sidorov-si', 'RHReynolds', 'jinmingda', 'phue', 'jemten', 'kojix2', 'xiaoli-dong', 'd4straub', 'fmalmeida', 'kaurravneet4123', 'klkeys', 'jfy133', 'abhi18av']",5,"['lung-rna-seq', 'pathogen', 'modules', 'ctg-rnaseq', 'magph']"
15,6,['FastQC'],5,"['ABMicroBioinf', 'xiaoli-dong', 'jianhong', 'mamanambiya', 'nf-core']",115,"['subwaystation', 'praveenraj2018', 'stevin-wilson', 'suzannejin', 'ramprasadn', 'projectoriented', 'ljmesi', 'fullama', 'GCJMackenzie', 'Midnighter', 'avantonder', 'yocra3', 'drpatelh', 'Emiller88', 'nickhsmith', 'Mark-S-Hill', 'nebfield', 'ErikaKvalem', 'c-mertes', 'i-pletenev', 'JoseEspinosa', 'MGordon09', 'stevekm', 'Danilo2771', 'sruthipsuresh', 'njspix', 'saramonzon', 'mjakobs', 'lescai', 'tamara-hodgetts', 'antunderwood', 'maxulysse', 'Gwennid', 'santiagorevale', 'sofstam', 'SPPearce', 'FelixKrueger', 'apeltzer', 'MillironX', 'FloWuenne', 'spficklin', 'pericsson', 'arontommi', 'svarona', 'FriederikeHanssen', 'louperelo', 'jcurado-flomics', 'charles-plessy', 'thanhleviet', 'lassefolkersen', 'chris-cheshire', 'alexandregilardet', 'candiceh08', 'ktrns', 'ntoda03', 'grst', 'rannick', 'muffato', 'riederd', 'nf-core-bot', 'andersgs', 'heuermh', 'sima-r', 'BatoolMM', 'Darcy220606', 'jfnavarro', 'fbdtemme', 'mahesh-panchal', 'rpetit3', 'KevinMenden', 'annacprice', 'aleksandrabliznina', 'mjcipriano', 'jianhong', 'oschwengers', 'mamanambiya', 'ajodeh-juma', 'ggabernet', 'sguizard', 'emnilsson', 'sysbiocoder', 'maxibor', 'pditommaso', 'piotr-faba-ardigen', 'bjohnnyd', 'lskatz', 'Jeremy1805', 'kmurat1', 'SusiJo', 'Erkison', 'bunop', 'Mxrcon', 'yuukiiwa', 'sateeshperi', 'tamuanand', 'AntoniaSchuster', 'kevbrick', 'mashehu', 'erikrikarddaniel', 'ewels', 'hseabolt', 'sidorov-si', 'RHReynolds', 'jinmingda', 'phue', 'jemten', 'kojix2', 'xiaoli-dong', 'd4straub', 'fmalmeida', 'kaurravneet4123', 'klkeys', 'MiguelJulia', 'jfy133', 'abhi18av']",6,"['pathogen', 'universalModule', 'popfreqs', 'modules', 'magph', 'viralrecon']"
16,11,['Picard'],10,"['ABMicroBioinf', 'MDU-PHL', 'erikwaskiewicz', 'xiaoli-dong', 'canceromics', 'ASKAP-EMUCat', 'samlhao', 'xmuyulab', 'nf-core', 'aws-samples']",33,"['lmyiing', 'alexandregilardet', 'ggabernet', 'sc13-bioinf', 'canceromics', 'maxibor', 'likelet', 'amazon-auto', 'juneb4869', 'nf-core-bot', 'erikwaskiewicz', 'evanfloden', 'andersgs', 'IdoBar', 'maxulysse', 'TCLamnidis', 'ashildv', 'drpatelh', 'davepallot', 'scarlhoff', 'apeltzer', 'aidaanva', 'ewels', 'olgabot', 'huhehaotecrystal', 'phue', 'ZandraFagernas', 'mderan-da', 'xiaoli-dong', 'jfy133', 'charles-plessy', 'alexhbnr', 'jmarvil']",10,"['MeRIPseqPipe', 'scRNAseq_pipelines', 'bamsurgeon-nextflow', 'pathogen', 'emucat_workflows', 'magph', 'nf-core-abricate', 'eager', 'kovid-trees-nf', 'aws-gatk-recipe-nextflow-pipeline']"
17,4,['SAMtools'],3,"['xiaoli-dong', 'ABMicroBioinf', 'ASKAP-EMUCat']",3,"['xiaoli-dong', 'davepallot', 'jmarvil']",3,"['pathogen', 'magph', 'emucat_workflows']"
18,20,['Picard'],9,"['telatin', 'ABMicroBioinf', 'erikwaskiewicz', 'xiaoli-dong', 'ATpoint', 'jgolob', 'StaPH-B', 'xmuyulab', 'nf-core']",45,"['telatin', 'thanhleviet', 'lmyiing', 'alexandregilardet', 'ggabernet', 'ramprasadn', 'jpfeuffer', 'projectoriented', 'sc13-bioinf', 'maxibor', 'ljmesi', 'ATpoint', 'rannick', 'LeuThrAsp', 'nf-core-bot', 'erikwaskiewicz', 'evanfloden', 'antunderwood', 'ypriverol', 'IdoBar', 'ignaciot', 'maxulysse', 'Gwennid', 'TCLamnidis', 'ashildv', 'avantonder', 'drpatelh', 'jgolob', 'scarlhoff', 'apeltzer', 'aidaanva', 'ewels', 'olgabot', 'KevinMenden', 'vmikk', 'huhehaotecrystal', 'phue', 'jemten', 'ZandraFagernas', 'sminot', 'Zethson', 'xiaoli-dong', 'charles-plessy', 'alexhbnr', 'jfy133']",13,"['raredisease', 'scRNAseq_pipelines', 'pathogen', 'mycosnp', 'proteomicslfq', 'atac_chip_preprocess', 'nascent', 'magph', 'nextflow-example', 'eager', 'bactmap', 'maliampi', 'ctdna-project']"
19,10,['STAR'],10,"['ABMicroBioinf', 'nibscbioinformatics', 'MaddalenaCella', 'alam1988', 'xiaoli-dong', 'ASKAP-EMUCat', 'jgolob', 'caspargross', 'xmuyulab', 'nf-core']",62,"['alneberg', 'Galithil', 'senthil10', 'pranathivemuri', 'sofiahaglund', 'lmyiing', 'na399', 'ggabernet', 'amayer21', 'skrakau', 'chuan-wang', 'pditommaso', 'TrisKast', 'rfenouil', 'drejom', 'matrulda', 'lpantano', 'grst', 'pcantalupo', 'rsuchecki', 'ppericard', 'nf-core-bot', 'MaddalenaCella', 'mvanins', 'maxulysse', 'vezzi', 'jburos', 'silviamorins', 'drpatelh', 'kviljoen', 'jgolob', 'robsyme', 'davepallot', 'BABS-STP1', 'sven1103', 'mashehu', 'ewels', 'apeltzer', 'olgabot', 'paulklemm', 'KevinMenden', 'jun-wan', 'orionzhou', 'Hammarn', 'huhehaotecrystal', 'zxl124', 'colindaven', 'jemten', 'sminot', 'marchoeppner', 'arontommi', 'alam1988', 'jordwil', 'FriederikeHanssen', 'd4straub', 'veeravalli', 'aanil', 'xiaoli-dong', 'kaurravneet4123', 'caspargross', 'jmarvil', 'abhi18av']",9,"['scRNAseq_pipelines', 'emucat_workflows', 'Nextflow', 'magph', 'HybridAssembly', 'nf-core-conva', 'cageseq', 'maliampi', 'nf-lcWGS-mapping-and-imputation']"
20,2,['SAMtools'],1,['ABMicroBioinf'],1,['xiaoli-dong'],2,"['nf-qc', 'pathogen']"
21,1,"['kraken2', 'Bracken']",1,['ABMicroBioinf'],1,['xiaoli-dong'],1,['nf-qc']
22,1,['FastQC'],1,['ABMicroBioinf'],1,['xiaoli-dong'],1,['nf-qc']
23,1,['MultiQC'],1,['ABMicroBioinf'],1,['xiaoli-dong'],1,['nf-qc']
24,1,['seqtk'],1,['ABMicroBioinf'],1,['xiaoli-dong'],1,['nf-tb']
25,1,['BWA'],1,['ABMicroBioinf'],1,['xiaoli-dong'],1,['nf-tb']
26,1,"['BWA', 'SAMtools', 'SAMtools', 'SAMtools']",1,['ABMicroBioinf'],1,['xiaoli-dong'],1,['nf-tb']
27,1,"['snippy', 'BCFtools']",1,['ABMicroBioinf'],1,['xiaoli-dong'],1,['nf-tb']
28,1,['BCFtools'],1,['ABMicroBioinf'],1,['xiaoli-dong'],1,['nf-tb']
29,13,"['Bowtie', 'SAMBLASTER', 'SAMtools']",11,"['yqshao', 'thanhleviet', 'ABMicroBioinf', 'chelauk', 'caspargross', 'xiaoli-dong', 'ATpoint', 'sickle-in-africa', 'espelpz', 'xmuyulab', 'nf-core']",49,"['davidmasp', 'alneberg', 'yqshao', 'thanhleviet', 'lmyiing', 'alexandregilardet', 'chelauk', 'ggabernet', 'ramprasadn', 'projectoriented', 'sc13-bioinf', 'maxibor', 'skrakau', 'ljmesi', 'ATpoint', 'lconde-ucl', 'lescai', 'pcantalupo', 'adrlar', 'rannick', 'nf-core-bot', 'evanfloden', 'IdoBar', 'maxulysse', 'malinlarsson', 'Gwennid', 'TCLamnidis', 'ashildv', 'drpatelh', 'scarlhoff', 'jfnavarro', 'apeltzer', 'aidaanva', 'ewels', 'jackmo375', 'olgabot', 'szilvajuhos', 'KevinMenden', 'huhehaotecrystal', 'phue', 'jemten', 'ZandraFagernas', 'arontommi', 'xiaoli-dong', 'FriederikeHanssen', 'charles-plessy', 'caspargross', 'alexhbnr', 'jfy133']",11,"['saw.sarek', 'raredisease', 'scRNAseq_pipelines', 'nf-nanopore-assembly', 'pathogen', 'nf-core-partial-umi', 'atac_chip_preprocess', 'tips', 'nf-core-denovohybrid', 'eager', 'taranispip']"
30,3,['Flye'],3,"['xiaoli-dong', 'ABMicroBioinf', 'yuifu']",2,"['xiaoli-dong', 'yuifu']",2,"['pathogen', 'nextflow_cwl_example']"
31,3,['Racon'],3,"['zamanianlab', 'ABMicroBioinf', 'xmuyulab']",5,"['huhehaotecrystal', 'mzamanian', 'lmyiing', 'chenthorn', 'xiaoli-dong']",3,"['Core_RNAseq-nf', 'scRNAseq_pipelines', 'pathogen']"
32,10,['Bracken'],8,"['zamanianlab', 'ABMicroBioinf', 'AgBC-UoP', 'xiaoli-dong', 'yassineS', 'ATpoint', 'sickle-in-africa', 'xmuyulab']",27,"['davidmasp', 'alneberg', 'lmyiing', 'chelauk', 'ggabernet', 'skrakau', 'ATpoint', 'lconde-ucl', 'lescai', 'pcantalupo', 'adrlar', 'nf-core-bot', 'shyaman', 'maxulysse', 'yassineS', 'malinlarsson', 'jfnavarro', 'jackmo375', 'apeltzer', 'olgabot', 'szilvajuhos', 'huhehaotecrystal', 'mzamanian', 'chenthorn', 'arontommi', 'xiaoli-dong', 'FriederikeHanssen']",7,"['saw.sarek', 'scRNAseq_pipelines', 'pathogen', 'atac_chip_preprocess', 'nf-demux', 'Core_RNAseq-nf', 'mapNclean-nf']"
33,9,['STAR'],7,"['zamanianlab', 'ABMicroBioinf', 'AgBC-UoP', 'xiaoli-dong', 'sickle-in-africa', 'yonghah', 'xmuyulab']",26,"['davidmasp', 'alneberg', 'lmyiing', 'chelauk', 'ggabernet', 'skrakau', 'yonghah', 'lconde-ucl', 'lescai', 'pcantalupo', 'adrlar', 'nf-core-bot', 'shyaman', 'maxulysse', 'malinlarsson', 'jfnavarro', 'jackmo375', 'apeltzer', 'olgabot', 'szilvajuhos', 'huhehaotecrystal', 'mzamanian', 'chenthorn', 'arontommi', 'xiaoli-dong', 'FriederikeHanssen']",6,"['geodata-pipeline', 'saw.sarek', 'seq-contamination-QC-nf', 'scRNAseq_pipelines', 'pathogen', 'Core_RNAseq-nf']"
34,3,['pilon'],3,"['xiaoli-dong', 'yqshao', 'ABMicroBioinf']",2,"['xiaoli-dong', 'yqshao']",2,"['tips', 'pathogen']"
35,3,['MLST'],3,"['zamanianlab', 'ABMicroBioinf', 'xiaoli-dong']",3,"['xiaoli-dong', 'chenthorn', 'mzamanian']",2,"['Core_RNAseq-nf', 'pathogen']"
36,3,['ABRicate'],3,"['xiaoli-dong', 'yqshao', 'ABMicroBioinf']",2,"['xiaoli-dong', 'yqshao']",2,"['tips', 'pathogen']"
37,3,['MultiQC'],3,"['yqshao', 'yassineS', 'ABMicroBioinf']",3,"['xiaoli-dong', 'yqshao', 'yassineS']",3,"['nf-demux', 'tips', 'pathogen']"
